TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
21:16:23:814,0.1899414,-0.07592773,0.9101563,0.0078125,-0.2958984,1.046875,9.817047,-5.286102,3.678589,189.0553,0,0,0,0,300.5177,0,0,508,150.0038,-4.26416,11.86195,0
21:16:23:846,0.1820068,-0.09057617,0.928833,0.01171875,-0.3320313,1.094727,10.1236,-4.07486,14.67697,176.6706,0,0,0,0,300.5177,0,0,508,150.0038,-4.955013,10.80892,0
21:16:23:894,0.1442871,-0.1206055,1.028931,0.0234375,-0.4101563,1.179688,12.83768,-2.983246,11.8956,189.0553,0,0,0,0,288.133,0,0,508,150.0038,-5.725066,6.975436,0
21:16:23:926,0.1113281,-0.08093262,1.023804,0.02636719,-0.3994141,1.19043,15.80597,-3.110352,-8.067474,189.0553,0,0,0,0,288.133,0,0,508,150.0038,-3.992738,5.631072,0
21:16:23:957,0.0847168,0,1.064087,0.03417969,-0.3515625,1.22168,16.16486,-4.403839,-14.03397,189.0553,0,0,0,0,288.133,0,0,508,150.0038,0,4.278874,0
21:16:23:990,0.07470703,-0.001953125,1.057861,0.04199219,-0.3369141,1.21875,15.55923,-4.777679,-7.603912,189.0553,0,0,0,0,288.133,0,0,508,150.0038,-0.09374084,3.812656,0
21:16:24:22,0.09020996,0.01806641,1.034546,0.04296875,-0.3369141,1.19043,13.78723,-5.061798,7.49176,189.0553,0,0,0,0,288.133,0,0,508,150.0038,0.8918996,4.738232,0
21:16:24:54,0.08959961,0.03759766,1.046387,0.046875,-0.3330078,1.216797,12.50122,-5.084229,3.110352,189.0553,0,0,0,0,275.7483,0,0,508,150.0038,1.817998,4.523537,0
21:16:24:86,0.09143066,0.05102539,1.0448,0.04785156,-0.3066406,1.179688,12.35168,-4.994507,-2.66922,189.0553,0,0,0,0,275.7483,0,0,508,150.0038,2.469684,4.574923,0
21:16:24:118,0.06640625,0.01708984,0.9416504,0.05761719,-0.2353516,1.061523,10.69931,-4.47113,3.618774,189.0553,0,0,0,0,275.7483,0,0,508,150.0038,1.027236,4.202249,0
21:16:24:150,0.07958984,-0.03747559,0.8510742,0.06152344,-0.2382813,0.9775391,9.256287,-3.618774,31.50726,189.0553,0,0,0,0,275.7483,0,0,508,150.0038,-2.668981,5.964375,0
21:16:24:182,0.08105469,-0.03710938,0.8614502,0.05859375,-0.2734375,1.005859,9.80957,-2.437439,29.96704,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,-2.581266,5.938673,0
21:16:24:214,0.06835938,-0.0357666,0.9075928,0.06152344,-0.2675781,1.052734,11.22269,-1.607513,20.14999,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,-2.295948,4.54743,0
21:16:24:246,0.04077148,0.007568359,1.014038,0.07128906,-0.2509766,1.15625,11.52924,-0.7102966,9.532928,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,0.4056218,2.25404,0
21:16:24:278,0.08557129,0.12854,1.10498,0.05761719,-0.2519531,1.264648,10.61707,-0.09719849,2.960815,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,5.618737,3.628188,0
21:16:24:310,0.08740234,0.1524658,1.084229,0.046875,-0.2431641,1.249023,8.800201,0.852356,-3.648682,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,6.883528,3.765443,0
21:16:24:341,0.06396484,0.125,1.021973,0.04296875,-0.2158203,1.12793,5.144043,2.639313,-4.844971,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,6.434396,3.130819,0
21:16:24:374,0.04248047,0.06896973,0.9016113,0.03027344,-0.2333984,1.023438,1.211243,3.461761,9.517975,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,4.609797,2.757849,0
21:16:24:406,0.05859375,0.04528809,0.840332,0.0234375,-0.234375,0.9873047,-0.5831909,4.403839,9.60022,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,3.38906,4.458598,0
21:16:24:437,0.06689453,0.04077148,0.8353271,0.03027344,-0.2265625,0.9921875,-1.525269,5.241241,10.40771,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,3.052083,5.17552,0
21:16:24:470,0.08007813,0.02282715,0.8566895,0.03417969,-0.2197266,1.023438,-3.544006,6.826324,16.9873,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,1.606345,6.04052,0
21:16:24:502,0.1325684,0.03161621,0.916626,0.0390625,-0.2207031,1.061523,-4.187012,9.009552,11.40961,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,1.861524,8.646131,0
21:16:24:534,0.1501465,0.05102539,0.9423828,0.03710938,-0.2353516,1.105469,-5.637512,12.25449,-2.407532,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,2.813619,9.083659,0
21:16:24:566,0.1337891,0.04577637,0.9525146,0.0390625,-0.2353516,1.105469,-5.861816,13.15918,-10.47501,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,2.517694,7.99087,0
21:16:24:598,0.1213379,0.03967285,0.9715576,0.046875,-0.2265625,1.139648,-7.230072,16.97983,-16.4415,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,2.132843,7.032556,0
21:16:24:629,0.09619141,0.0402832,0.9892578,0.04980469,-0.2578125,1.164063,-9.45816,19.82849,-21.33133,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,2.14638,5.39307,0
21:16:24:661,0.07641602,0.03833008,1.008057,0.04980469,-0.265625,1.171875,-9.959106,20.04532,-23.82111,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,2.00921,4.144752,0
21:16:24:693,0.05187988,-0.02722168,1.061401,0.07128906,-0.2421875,1.237305,-11.29745,21.41357,-22.75192,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,-1.323269,2.574546,0
21:16:24:726,0.0670166,-0.03283691,1.103027,0.06933594,-0.2890625,1.271484,-11.49933,22.08649,-16.99478,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,-1.465317,3.070087,0
21:16:24:757,0.05065918,-0.0402832,1.085327,0.0625,-0.2890625,1.268555,-11.4769,23.23792,-33.80264,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,-1.877944,2.381253,0
21:16:24:789,0.03967285,-0.06286621,1.080566,0.06347656,-0.2861328,1.258789,-11.64139,23.01361,-35.51483,176.6706,0,0,0,0,263.3636,0,0,508,150.0038,-2.980807,1.846663,0
