TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
16:42:53:94,-0.1585693,-0.07348633,0.9927979,-0.1552734,0.008789063,1.109375,0.03738403,3.992615,-3.087921,164.2859,102.3624,238.5941,684.4435,28.05412,0,0,89.97765,34,0,-3.674724,-8.514853,0
16:42:53:127,-0.1602783,-0.07971191,0.9942627,-0.1601563,0.008789063,1.120117,-0.01495361,3.708496,-3.364563,164.2859,102.3624,238.5941,684.4435,28.05412,0,0,89.97765,34,0,-3.969101,-8.532747,0
16:42:53:158,-0.1602783,-0.07971191,0.9942627,-0.1601563,0.0078125,1.100586,0.02243042,3.925323,-2.930908,164.2859,102.3624,238.5941,684.4435,28.05412,0,0,89.97765,34,0,-3.969101,-8.532747,0
16:42:53:190,-0.1604004,-0.07910156,0.9929199,-0.15625,0.0078125,1.120117,0.007476807,4.157104,-3.20755,164.2859,102.3624,238.5941,684.4435,28.05412,0,0,89.97765,34,0,-3.947527,-8.56505,0
16:42:53:222,-0.1585693,-0.07763672,0.9847412,-0.1601563,0.006835938,1.117188,-0.1570129,3.992615,-3.252411,164.2859,102.3624,226.2094,684.4435,28.05412,0,0,89.97765,34,0,-3.93629,-8.609212,0
16:42:53:254,-0.1599121,-0.07861328,0.9921875,-0.1601563,0.0078125,1.128906,-0.08224487,3.835602,-3.484192,164.2859,102.3624,226.2094,684.4435,28.05412,0,0,89.97765,34,0,-3.929874,-8.554732,0
16:42:53:286,-0.1599121,-0.07763672,0.9954834,-0.15625,0.01171875,1.117188,-0.2018738,3.708496,-3.20755,164.2859,102.3624,238.5941,684.4435,28.05412,0,0,89.97765,34,0,-3.85918,-8.510761,0
16:42:53:318,-0.1608887,-0.07922363,0.9976807,-0.1601563,0.006835938,1.107422,0.08972168,3.798218,-3.37204,164.2859,102.3624,226.2094,684.4435,28.05412,0,0,89.97765,34,0,-3.919633,-8.515127,0
16:42:53:349,-0.1593018,-0.07897949,0.9927979,-0.15625,0.0078125,1.117188,0.08972168,4.022522,-3.349609,164.2859,102.3624,226.2094,684.4435,28.05412,0,0,89.97765,34,0,-3.946056,-8.510117,0
16:42:53:381,-0.1553955,-0.07641602,0.9869385,-0.15625,0.0078125,1.117188,-0.2168274,3.947754,-3.416901,164.2859,102.3624,238.5941,684.4435,28.05412,0,0,89.97765,34,0,-3.870627,-8.414762,0
16:42:53:413,-0.1583252,-0.07788086,0.9915771,-0.15625,0.005859375,1.108398,-0.05981445,3.985138,-3.499146,164.2859,102.3624,238.5941,684.4435,28.05412,0,0,89.97765,34,0,-3.902885,-8.486363,0
16:42:53:445,-0.1636963,-0.07727051,0.9958496,-0.1611328,0.01074219,1.120117,-0.05981445,3.828125,-3.18512,164.2859,102.3624,238.5941,684.4435,28.05412,0,0,89.97765,34,0,-3.826071,-8.706196,0
