TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
12:9:9:627,0.2045898,-0.02160645,1.250366,-0.06445313,0.3242188,1.506836,-11.58157,-4.830017,-20.68832,189.0553,114.7471,387.2106,1031.215,114.7471,0,0,151.9012,24,0,-0.7001655,7.354899,0
12:9:9:659,0.2547607,0.002197266,1.385742,-0.06640625,0.2578125,1.5625,-11.25259,-4.740295,-23.32764,201.44,114.7471,387.2106,1031.215,114.7471,0,0,151.9012,24,0,0.05788118,7.548672,0
12:9:9:691,0.2320557,-0.08654785,1.228027,-0.04101563,0.2451172,1.339844,-11.78345,-1.981354,6.400146,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,24,0,-2.847379,8.279903,0
12:9:9:723,0.1831055,-0.1687012,0.9794922,-0.04101563,0.2998047,1.163086,-11.11053,-0.8822632,37.08496,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,24,0,-8.399505,9.219407,0
12:9:9:755,0.1848145,-0.1844482,0.9880371,-0.05664063,0.3027344,1.175781,-9.293671,-0.463562,45.49637,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,24,0,-9.026903,9.047336,0
12:9:9:787,0.2246094,-0.1481934,0.9926758,-0.07519531,0.2978516,1.164063,-4.859924,1.465454,34.40826,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,22,0,-6.982378,11.20733,0
12:9:9:819,0.1276855,-0.09997559,0.824585,-0.0390625,0.296875,1.023438,0.1196289,4.082336,0.5981445,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,22,0,-7.056715,9.297812,0
12:9:9:851,0.07739258,-0.06860352,0.7332764,-0.006835938,0.2539063,0.9042969,1.383209,3.312225,4.942169,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,22,0,-6.364164,7.274342,0
12:9:9:883,0.1063232,-0.03430176,0.7364502,-0.0078125,0.2421875,0.9091797,1.719666,3.342133,11.40961,189.0553,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,22,0,-3.026933,10.44673,0
12:9:9:915,0.1171875,-0.04199219,0.7912598,-0.02832031,0.2246094,0.9804688,1.936493,3.289795,12.1199,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,510,0,-3.233535,9.948941,0
12:9:9:947,0.1414795,-0.04956055,0.868042,-0.0390625,0.2109375,1.049805,2.818756,4.762726,3.566437,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,510,0,-3.169595,9.991613,0
12:9:9:979,0.1403809,-0.05566406,0.9000244,-0.03320313,0.2246094,1.089844,3.416901,5.592651,-2.773895,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,510,0,-3.351845,9.210754,0
12:9:10:11,0.1229248,-0.05480957,0.9769287,-0.02441406,0.2373047,1.131836,3.91037,7.110443,-10.78156,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,510,0,-2.912475,6.944663,0
12:9:10:43,0.1201172,-0.06323242,0.9870605,-0.01464844,0.2490234,1.160156,3.880463,7.177734,-10.24323,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,22,0,-3.306751,6.603919,0
12:9:10:75,0.1444092,-0.07556152,0.9741211,-0.00390625,0.2734375,1.165039,4.658051,6.990814,-7.798309,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,510,0,-3.953535,8.023518,0
12:9:10:107,0.1369629,-0.1029053,0.9553223,-0.0009765625,0.2802734,1.124023,4.807587,6.676788,-7.940369,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,510,0,-5.5995,7.680923,0
12:9:10:139,0.1479492,-0.1345215,0.8448486,0.006835938,0.2978516,1.046875,6.220703,6.452484,-6.527252,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,510,0,-8.872739,9.893366,0
12:9:10:171,0.1645508,-0.1282959,0.8459473,0.02148438,0.2880859,1.032227,8.187103,6.385193,-9.069366,201.44,114.7471,387.2106,1043.6,114.7471,0,0,164.2859,510,0,-8.293108,11.03328,0
12:9:10:203,0.1586914,-0.1097412,0.8155518,0.04492188,0.2900391,0.984375,9.615173,6.310425,-11.58157,201.44,114.7471,387.2106,1043.6,114.7471,0,0,151.9012,510,0,-7.587746,11.57405,0
12:9:10:235,0.1575928,-0.0982666,0.7803955,0.05078125,0.296875,0.9697266,10.31799,6.736603,-10.87128,201.44,114.7471,387.2106,1055.985,114.7471,0,0,151.9012,18,0,-7.30453,12.56112,0
12:9:10:267,0.1318359,-0.07873535,0.8406982,0.06152344,0.2949219,1.023438,10.79651,5.637512,-11.3797,201.44,127.1318,387.2106,1055.985,114.7471,0,0,151.9012,510,0,-5.363662,9.527445,0
12:9:10:299,0.168457,-0.02832031,0.9274902,0.06152344,0.265625,1.089844,10.25818,5.659943,-15.55176,201.44,114.7471,387.2106,1055.985,114.7471,0,0,151.9012,510,0,-1.576973,10.735,0
12:9:10:332,0.1837158,-0.02404785,0.9267578,0.0546875,0.2460938,1.112305,9.383392,6.280518,-16.91254,201.44,114.7471,387.2106,1055.985,114.7471,0,0,151.9012,18,0,-1.321314,11.75414,0
12:9:10:363,0.1740723,-0.01831055,0.9212646,0.06054688,0.2490234,1.105469,7.783356,6.916046,-13.41339,201.44,114.7471,387.2106,1055.985,114.7471,0,0,151.9012,18,0,-1.02562,11.35215,0
