TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
12:11:6:771,-0.0447998,-0.04528809,0.9893799,-0.1259766,0.00390625,1.148438,2.018738,13.93677,27.40997,151.9012,28.05412,275.7483,758.7518,28.05412,0,0,102.3624,10,0,-2.533159,-2.504689,0
12:11:6:803,-0.1072998,-0.06347656,0.9914551,-0.1113281,-0.04394531,1.148438,1.988831,16.07513,15.47699,151.9012,28.05412,275.7483,758.7518,28.05412,0,0,102.3624,12,0,-3.332014,-5.854421,0
12:11:6:834,-0.1293945,-0.05493164,0.9857178,-0.1181641,-0.04003906,1.147461,1.704712,16.32187,18.19107,151.9012,28.05412,275.7483,758.7518,28.05412,0,0,102.3624,18,0,-2.856173,-7.183982,0
12:11:6:865,-0.1411133,-0.04736328,0.9951172,-0.1181641,-0.078125,1.148438,1.360779,16.33682,37.64572,151.9012,28.05412,275.7483,758.7518,28.05412,0,0,114.7471,30,0,-2.397208,-7.744535,0
12:11:6:896,-0.1634521,0.005615234,0.975708,-0.1533203,-0.04785156,1.136719,-0.08224487,16.89758,50.58807,151.9012,28.05412,275.7483,771.1365,28.05412,0,0,102.3624,510,0,0.2884254,-9.686218,0
12:11:6:928,-0.1956787,0.02612305,0.9763184,-0.1445313,-0.04785156,1.138672,-0.2467346,16.75552,53.77319,151.9012,28.05412,275.7483,771.1365,28.05412,0,0,102.3624,510,0,1.302562,-11.2995,0
12:11:6:974,-0.225708,0.05493164,0.9841309,-0.1884766,-0.03515625,1.123047,-1.226196,16.77048,36.65131,151.9012,28.05412,275.7483,771.1365,28.05412,0,0,102.3624,510,0,2.633627,-12.43679,0
12:11:7:271,-0.3054199,-0.06335449,0.9814453,-0.1738281,-0.1015625,1.131836,-2.29538,5.31601,18.66959,151.9012,28.05412,263.3636,771.1365,28.05412,0,0,102.3624,8,0,-2.85888,-16.56823,0
12:11:7:303,-0.2351074,0.008300781,1.011108,-0.1884766,-0.01953125,1.147461,-1.390686,5.615082,2.078552,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,102.3624,6,0,0.3782208,-12.85029,0
12:11:7:334,-0.2105713,-0.1149902,1.081177,-0.1953125,-0.1083984,1.076172,-0.3289795,5.069275,-18.98361,151.9012,28.05412,238.5941,771.1365,28.05412,0,0,102.3624,510,0,-4.764908,-9.313869,0
