TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
21:10:43:359,-0.255127,-0.04138184,0.927002,0.1494141,0.06542969,1.136719,1.555176,17.77237,-1.435547,176.6706,0,0,0,0,771.1365,0,0,508,103.1273,-2.126516,-15.81475,0
21:10:43:391,-0.3144531,-0.04003906,0.9080811,0.1748047,0.1416016,1.09375,3.850555,23.7912,-4.082336,176.6706,0,0,0,0,758.7518,0,0,508,103.1273,-2.013166,-19.98515,0
21:10:43:423,-0.3494873,-0.03552246,0.9072266,0.1904297,0.1201172,1.09375,4.336548,23.75381,-6.878662,176.6706,0,0,0,0,758.7518,0,0,508,103.1273,-1.735252,-22.14886,0
21:10:43:455,-0.3372803,-0.04980469,0.8990479,0.171875,0.171875,1.105469,4.650574,25.03983,-6.377716,176.6706,0,0,0,0,746.3671,0,0,508,103.1273,-2.489424,-21.45773,0
21:10:43:487,-0.4031982,-0.04626465,0.9040527,0.2011719,0.1494141,1.110352,6.4151,25.9819,-10.8638,176.6706,0,0,0,0,746.3671,0,0,508,103.1273,-2.170815,-25.02758,0
21:10:43:519,-0.44104,-0.03942871,0.8637695,0.1914063,0.1679688,1.084961,6.848755,26.08658,-14.69193,176.6706,0,0,0,0,733.9824,0,0,508,103.1273,-1.90228,-29.31237,0
21:10:43:551,-0.4858398,-0.0007324219,0.9095459,0.1875,0.1494141,1.109375,7.372131,25.64545,-20.25467,176.6706,0,0,0,0,721.5977,0,0,508,103.1273,-0.03195815,-30.40265,0
21:10:43:583,-0.522583,0.04748535,0.9099121,0.2353516,0.1728516,1.085938,6.422577,24.9501,-10.45258,176.6706,0,0,0,0,684.4435,0,0,508,103.1273,2.013731,-30.83498,0
21:10:43:615,-0.5787354,0.05664063,0.8969727,0.1748047,0.1875,1.09668,5.517883,23.41736,-8.17215,176.6706,0,0,0,0,659.6741,0,0,508,103.1273,2.344732,-33.90149,0
21:10:43:647,-0.5106201,0.05944824,0.914917,0.21875,0.1904297,1.061523,4.80011,21.12198,-6.587067,164.2859,0,0,0,0,622.52,0,0,508,103.1273,2.525743,-29.66398,0
