TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
11:15:0:275,0.01696777,-0.03869629,0.9818115,-0.09472656,0.1943359,1.152344,0.2392578,6.557159,0.8149719,176.6706,89.97765,486.2883,857.8295,77.59294,0,0,139.5165,248,0,-2.259085,0.9695196,0
11:15:0:307,0.0006103516,-0.04187012,0.9779053,-0.09472656,0.1933594,1.143555,0,7.177734,-4.508514,176.6706,89.97765,498.673,857.8295,77.59294,0,0,139.5165,250,0,-2.505412,0.03503472,0
11:15:0:446,0.004394531,-0.04296875,0.9667969,-0.1015625,0.1757813,1.133789,-1.547699,4.344025,-4.643097,176.6706,89.97765,486.2883,857.8295,65.20824,0,0,151.9012,238,0,-2.619781,0.2575385,0
11:15:0:478,0.0222168,-0.05847168,0.9711914,-0.1054688,0.1728516,1.149414,-2.048645,4.545898,-4.396362,176.6706,89.97765,473.9036,857.8295,77.59294,0,0,139.5165,234,0,-3.465911,1.27058,0
11:15:0:509,0.005249023,-0.08374023,0.987793,-0.109375,0.1748047,1.147461,-1.75705,3.925323,-2.108459,176.6706,89.97765,473.9036,857.8295,77.59294,0,0,139.5165,234,0,-4.87914,0.2838617,0
11:15:0:541,0.01696777,-0.0802002,0.9797363,-0.09472656,0.1904297,1.136719,-1.323395,3.349609,0.8822632,176.6706,89.97765,486.2883,857.8295,77.59294,0,0,139.5165,240,0,-4.693499,0.9346322,0
11:15:0:635,0.008544922,-0.06506348,0.9796143,-0.1015625,0.1748047,1.146484,-1.166382,4.755249,-4.029999,176.6706,89.97765,498.673,857.8295,77.59294,0,0,139.5165,250,0,-3.844565,0.477772,0
11:15:0:667,0.01123047,-0.07287598,0.9835205,-0.1025391,0.1728516,1.140625,-1.480408,4.732819,-1.398163,176.6706,89.97765,486.2883,857.8295,77.59294,0,0,139.5165,252,0,-4.259181,0.6185738,0
11:15:0:699,0.00793457,-0.06066895,0.9713135,-0.1025391,0.1679688,1.148438,-1.502838,4.231873,3.117828,176.6706,89.97765,461.5189,857.8295,77.59294,0,0,139.5165,252,0,-3.648761,0.4527432,0
11:15:0:731,-0.01660156,-0.06445313,0.987793,-0.09472656,0.171875,1.147461,-1.532745,4.112244,3.760834,164.2859,89.97765,449.1342,857.8295,77.59294,0,0,139.5165,254,0,-3.716191,-0.9143718,0
11:15:0:762,-0.01660156,-0.06445313,0.987793,-0.09765625,0.171875,1.148438,-1.981354,3.955231,2.519684,176.6706,89.97765,436.7494,857.8295,77.59294,0,0,151.9012,254,0,-3.716191,-0.9143718,0
11:15:0:794,-0.01245117,-0.07128906,0.9936523,-0.09472656,0.1748047,1.148438,-2.108459,3.55896,1.24115,176.6706,89.97765,436.7494,857.8295,77.59294,0,0,139.5165,254,0,-4.078493,-0.6738558,0
11:15:0:827,-0.005371094,-0.08410645,0.9718018,-0.08691406,0.1708984,1.148438,-1.637421,3.618774,0.8747864,176.6706,89.97765,436.7494,857.8295,77.59294,0,0,139.5165,252,0,-5.060602,-0.2992092,0
11:15:0:859,-0.002685547,-0.08630371,0.967041,-0.0859375,0.1748047,1.147461,-2.026215,2.721558,1.61499,176.6706,89.97765,436.7494,857.8295,77.59294,0,0,139.5165,254,0,-5.257697,-0.1506357,0
11:15:0:890,0.005981445,-0.08361816,0.9716797,-0.0859375,0.1796875,1.152344,-1.674805,2.616882,0.09719849,176.6706,89.97765,436.7494,857.8295,77.59294,0,0,139.5165,254,0,-5.029408,0.3334447,0
11:15:0:923,0.01367188,-0.08068848,0.9725342,-0.08691406,0.1796875,1.146484,-1.360779,2.631836,-2.213135,176.6706,89.97765,436.7494,857.8295,77.59294,0,0,139.5165,252,0,-4.806965,0.7630647,0
11:15:2:106,0.03222656,-0.1295166,0.9584961,-0.0625,0.2167969,1.132813,-5.301056,-5.144043,3.514099,176.6706,89.97765,523.4424,882.5989,77.59294,0,0,139.5165,242,0,-7.755866,1.760932,0
11:15:2:138,0.03393555,-0.1413574,0.9396973,-0.05566406,0.2011719,1.136719,-4.373932,-5.084229,-2.743988,176.6706,89.97765,535.8271,882.5989,77.59294,0,0,151.9012,244,0,-8.763597,1.897379,0
11:15:2:170,0.03881836,-0.1411133,0.9355469,-0.05566406,0.1943359,1.131836,-3.656158,-5.278625,-4.568329,176.6706,89.97765,535.8271,882.5989,77.59294,0,0,151.9012,244,0,-8.776023,2.187261,0
11:15:2:202,0.03918457,-0.130127,0.9642334,-0.04101563,0.1748047,1.148438,-2.953339,-5.368347,-4.366455,176.6706,89.97765,535.8271,882.5989,77.59294,0,0,151.9012,248,0,-7.64903,2.117318,0
11:15:2:237,0.05517578,-0.1230469,0.9710693,-0.03125,0.15625,1.149414,-2.998199,-5.570221,-0.8299255,176.6706,89.97765,535.8271,882.5989,77.59294,0,0,151.9012,252,0,-7.027668,2.962903,0
11:15:2:313,0.05847168,-0.1002197,0.9847412,-0.03125,0.1328125,1.148438,-5.353394,-4.299164,9.936676,176.6706,89.97765,548.2118,882.5989,77.59294,0,0,151.9012,252,0,-5.567164,3.128088,0
11:15:2:346,0.046875,-0.1182861,0.96521,-0.04589844,0.1435547,1.136719,-6.06369,-2.452393,5.31601,176.6706,89.97765,548.2118,882.5989,77.59294,0,0,151.9012,252,0,-6.892728,2.556353,0
11:15:2:378,0.02685547,-0.1230469,0.9572754,-0.05566406,0.140625,1.136719,-5.85434,-0.6130981,-2.086029,176.6706,89.97765,548.2118,882.5989,77.59294,0,0,151.9012,252,0,-7.432403,1.480016,0
11:15:2:410,0.0201416,-0.1240234,0.9504395,-0.0625,0.1308594,1.139648,-5.652466,0.1046753,-3.798218,176.6706,89.97765,548.2118,870.2142,77.59294,0,0,151.9012,252,0,-7.649086,1.123153,0
11:15:2:442,0.02087402,-0.1470947,0.956543,-0.08007813,0.1005859,1.130859,-5.435638,1.211243,-1.084137,176.6706,89.97765,548.2118,870.2142,77.59294,0,0,151.9012,252,0,-8.932551,1.125952,0
11:15:2:473,0.03479004,-0.1503906,0.9533691,-0.1083984,0.06347656,1.132813,-4.553375,3.349609,2.13089,176.6706,89.97765,548.2118,870.2142,77.59294,0,0,151.9012,252,0,-9.054646,1.881053,0
11:15:2:506,0.04931641,-0.1540527,0.9504395,-0.1132813,0.04980469,1.149414,-3.738403,4.172058,3.102875,176.6706,89.97765,548.2118,870.2142,77.59294,0,0,151.9012,252,0,-9.185749,2.670331,0
11:15:2:538,0.03381348,-0.1303711,0.9658203,-0.1142578,0.03808594,1.131836,-2.205658,8.830109,3.671112,176.6706,89.97765,548.2118,870.2142,77.59294,0,0,151.9012,252,0,-7.681292,1.821626,0
