TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
14:52:4:680,-0.06518555,0.02209473,1.08313,0.02441406,0.3369141,1.183594,3.753357,15.4097,-24.88281,139.5165,28.05412,250.9788,833.0601,28.05412,0,0,114.7471,126,0,1.022162,-3.121618,0
14:52:4:715,0.05847168,0.1481934,1.145752,0.1318359,0.484375,1.280273,-7.783356,-0.3140259,36.35971,139.5165,28.05412,226.2094,882.5989,40.43883,0,0,114.7471,126,0,6.168252,2.291943,0
14:52:4:745,0.1494141,-0.04284668,0.8959961,0.09667969,0.5615234,1.049805,-11.20773,-10.07126,15.8284,139.5165,28.05412,213.8247,882.5989,28.05412,0,0,114.7471,126,0,-2.57637,10.01985,0
14:52:4:777,0.1607666,-0.08557129,0.824707,0.08886719,0.5859375,0.9746094,-10.28061,-15.55176,2.983246,139.5165,28.05412,213.8247,870.2142,28.05412,0,0,114.7471,126,0,-5.810449,11.85741,0
14:52:4:809,0.1607666,-0.08557129,0.824707,0.09277344,0.59375,0.9726563,-8.695526,-19.11072,-8.673096,139.5165,28.05412,213.8247,870.2142,28.05412,0,0,127.1318,124,0,-5.810449,11.85741,0
14:52:4:841,0.1582031,-0.05700684,0.8361816,0.0859375,0.5546875,1,-5.600128,-25.89218,-31.06613,139.5165,28.05412,213.8247,870.2142,28.05412,0,0,114.7471,124,0,-3.803872,11.81621,0
14:52:4:872,0.1542969,-0.03796387,0.8544922,0.08105469,0.5146484,1.010742,-4.747772,-29.18198,-38.08685,139.5165,28.05412,213.8247,870.2142,28.05412,0,0,114.7471,128,0,-2.457828,11.35817,0
14:52:4:904,0.1286621,-0.004638672,0.8746338,0.06542969,0.4453125,1.049805,-3.424377,-34.58771,-49.54132,139.5165,28.05412,213.8247,870.2142,28.05412,0,0,114.7471,130,0,-0.2974039,9.490686,0
14:52:5:145,0.2183838,-0.05041504,0.9233398,-0.1728516,-0.1113281,1.061523,-6.093597,-32.59888,-54.33395,151.9012,28.05412,238.5941,771.1365,52.82353,0,0,114.7471,162,0,-2.695237,13.59592,0
14:52:5:188,0.2613525,-0.0447998,0.9490967,-0.1630859,-0.1640625,1.06543,-6.833801,-26.9165,-45.17487,151.9012,28.05412,238.5941,771.1365,52.82353,0,0,114.7471,160,0,-2.207631,15.45041,0
14:52:5:219,0.2281494,-0.02600098,1.022827,-0.171875,-0.2080078,1.109375,-7.446899,-12.25449,-37.90741,151.9012,28.05412,250.9788,771.1365,65.20824,0,0,114.7471,152,0,-1.168885,12.01285,0
14:52:5:251,0.2250977,0.002807617,1.071045,-0.1640625,-0.3085938,1.195313,-10.51987,3.222504,-11.28998,151.9012,28.05412,263.3636,771.1365,77.59294,0,0,114.7471,158,0,0.117228,11.07541,0
14:52:5:283,0.196167,0.005004883,1.095459,-0.1640625,-0.2431641,1.180664,-14.0863,14.63959,17.36862,151.9012,28.05412,263.3636,771.1365,77.59294,0,0,114.7471,156,0,0.2053846,9.246041,0
14:52:5:316,0.1800537,-0.03894043,1.053955,-0.1728516,-0.2285156,1.170898,-15.42465,21.93695,24.71832,151.9012,28.05412,263.3636,771.1365,77.59294,0,0,114.7471,154,0,-1.727856,8.900284,0
14:52:5:348,0.2393799,-0.1589355,1.027466,-0.2021484,-0.2109375,1.143555,-14.74426,33.69797,30.43808,151.9012,28.05412,263.3636,771.1365,65.20824,0,0,114.7471,154,0,-6.996576,11.14908,0
14:52:5:381,0.196167,-0.1221924,0.9110107,-0.1953125,-0.1416016,1.083984,-10.11612,49.92264,25.8548,151.9012,28.05412,263.3636,771.1365,52.82353,0,0,114.7471,154,0,-6.790996,11.64169,0
14:52:5:412,0.1524658,-0.08764648,0.885498,0.1513672,1.160156,1.999023,-8.059998,58.62564,6.445007,151.9012,28.05412,300.5177,771.1365,40.43883,0,0,114.7471,146,0,-5.346292,9.920442,0
14:52:5:444,1.166626,-0.2392578,0.9658203,0.0625,1.999023,0.7880859,-0.2766418,40.91309,-25.10712,151.9012,28.05412,288.133,771.1365,28.05412,0,0,114.7471,140,0,-6.501547,44.86671,0
14:52:5:476,0.06396484,-0.04016113,1.860352,0.34375,0.9130859,1.308594,-1.009369,45.34683,-26.56509,151.9012,28.05412,275.7483,771.1365,40.43883,0,0,114.7471,132,0,-0.6527793,1.046683,0
14:52:5:524,0.1846924,-0.0447998,0.9317627,-0.02832031,0.1279297,1.113281,-5.36087,48.87589,9.719849,151.9012,28.05412,275.7483,771.1365,28.05412,0,0,114.7471,120,0,-2.436466,11.43636,0
14:52:5:587,0.1617432,-0.1102295,0.9239502,-0.01269531,0.1005859,1.120117,-3.476715,55.0592,13.39096,151.9012,15.66941,275.7483,771.1365,28.05412,0,0,127.1318,110,0,-6.195472,9.525403,0
14:52:5:619,0.1773682,-0.1090088,0.9257813,-0.0234375,0.09667969,1.147461,-3.170166,56.74896,9.076843,151.9012,28.05412,275.7483,771.1365,28.05412,0,0,114.7471,110,0,-6.015605,10.40341,0
14:52:5:683,0.06176758,-0.1599121,0.8962402,-0.06933594,0.01171875,1.132813,-2.302856,65.63141,-2.751465,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,104,0,-10.47382,3.669366,0
14:52:5:715,-0.01953125,-0.1737061,0.8781738,-0.04003906,-0.0009765625,1.124023,-0.1271057,66.85013,4.044952,139.5165,28.05412,250.9788,771.1365,28.05412,0,0,127.1318,102,0,-12.38997,-1.184151,0
14:52:5:747,-0.05615234,-0.2192383,0.911377,-0.08691406,0.006835938,1.143555,2.041168,69.68384,-4.972076,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,102,0,-13.88705,-3.061619,0
14:52:5:779,-0.1506348,-0.244873,0.9219971,-0.1220703,-0.1191406,1.069336,3.058014,70.43152,-12.98721,151.9012,28.05412,238.5941,783.5212,28.05412,0,0,114.7471,102,0,-13.75,-7.833129,0
14:52:5:875,-0.338501,0.03271484,1.154663,0.08886719,0.2949219,1.326172,3.04306,41.03271,30.86426,151.9012,15.66941,226.2094,795.9059,28.05412,0,0,114.7471,130,0,1.121092,-13.91817,0
14:52:5:907,-0.3846436,0.06933594,1.163696,0.109375,0.4228516,1.319336,0.9645081,32.12036,41.30188,151.9012,15.66941,226.2094,808.2906,28.05412,0,0,114.7471,130,0,2.283459,-15.12052,0
14:52:5:939,-0.3553467,0.08618164,1.111328,0.1210938,0.4775391,1.233398,-1.517792,22.19864,33.91479,151.9012,15.66941,213.8247,808.2906,28.05412,0,0,114.7471,68,0,3.101754,-15.05354,0
14:52:5:971,-0.3057861,0.01318359,0.9602051,0.1230469,0.5429688,1.100586,-3.39447,3.237457,-7.611389,151.9012,15.66941,213.8247,808.2906,28.05412,0,0,114.7471,98,0,0.6152041,-18.10681,0
14:52:6:3,-0.2915039,-0.06152344,0.8851318,0.1230469,0.5136719,1.026367,-2.213135,-11.10306,-28.59879,151.9012,3.284706,213.8247,808.2906,28.05412,0,0,114.7471,126,0,-3.275642,-19.03354,0
14:52:6:35,-0.2950439,-0.07507324,0.8529053,0.1123047,0.4765625,1.03418,-1.562653,-30.9166,-19.11819,151.9012,15.66941,201.44,808.2906,28.05412,0,0,114.7471,100,0,-4.199229,-20.18578,0
14:52:6:67,-0.2855225,-0.07958984,0.8659668,0.109375,0.4716797,1.054688,-1.697235,-35.82886,-12.22458,151.9012,15.66941,213.8247,808.2906,28.05412,0,0,114.7471,96,0,-4.395519,-18.99424,0
14:52:6:99,-0.230835,-0.08569336,0.8922119,0.04589844,0.4492188,1.141602,-1.600037,-54.01993,1.734619,151.9012,15.66941,213.8247,808.2906,28.05412,0,0,114.7471,98,0,-4.770306,-14.67057,0
14:52:6:130,-0.1826172,-0.09399414,0.8920898,0.03027344,0.4365234,1.155273,-1.271057,-57.87048,-2.003784,151.9012,15.66941,213.8247,808.2906,28.05412,0,0,114.7471,84,0,-5.48729,-11.59776,0
14:52:6:163,-0.166748,-0.1359863,0.8731689,0.002929688,0.3398438,1.185547,3.618774,-72.52502,-18.7294,151.9012,15.66941,213.8247,808.2906,28.05412,0,0,114.7471,90,0,-8.32625,-10.51464,0
14:52:6:194,-0.1916504,-0.107666,0.8831787,-0.015625,0.3046875,1.249023,6.646881,-79.74762,-28.18008,151.9012,28.05412,213.8247,808.2906,28.05412,0,0,114.7471,90,0,-6.32297,-12.1833,0
14:52:6:226,-0.2026367,-0.09741211,0.9105225,-0.01757813,0.2929688,1.28418,8.934784,-85.11597,-35.79895,151.9012,28.05412,213.8247,808.2906,28.05412,0,0,114.7471,100,0,-5.393884,-12.33749,0
14:52:6:259,-0.15271,-0.05200195,1.005005,-0.04394531,0.2255859,1.4375,12.86011,-90.85815,-52.63672,151.9012,28.05412,226.2094,808.2906,28.05412,0,0,114.7471,104,0,-2.560758,-8.182459,0
14:52:6:291,-0.1911621,-0.08447266,1.056763,-0.05078125,0.1171875,1.523438,17.23404,-97.62466,-45.03281,151.9012,28.05412,226.2094,808.2906,28.05412,0,0,127.1318,106,0,-3.695373,-9.042224,0
14:52:6:322,-0.2036133,-0.1083984,0.9844971,-0.08007813,0.1103516,1.472656,18.00415,-102.6865,-20.70328,151.9012,28.05412,226.2094,808.2906,28.05412,0,0,114.7471,102,0,-5.280463,-10.69961,0
14:52:6:354,-0.1063232,-0.02770996,0.9425049,-0.09765625,0.04003906,1.4375,19.12567,-103.9127,-26.55014,151.9012,28.05412,226.2094,795.9059,28.05412,0,0,114.7471,100,0,-1.595809,-6.620706,0
14:52:6:387,0.1378174,0.1170654,0.9866943,-0.1103516,-0.05957031,1.444336,19.31259,-100.1817,-35.28305,151.9012,28.05412,226.2094,783.5212,28.05412,0,0,114.7471,98,0,6.012969,7.201997,0
14:52:6:418,0.2475586,-0.007324219,0.9874268,-0.125,-0.05664063,1.359375,17.00974,-87.80014,-44.06082,151.9012,28.05412,238.5941,771.1365,28.05412,0,0,114.7471,110,0,-0.3432456,14.14459,0
14:52:6:450,0.2672119,0.06030273,1.026611,-0.1181641,-0.1113281,1.357422,16.42654,-81.39999,-38.3934,151.9012,28.05412,238.5941,771.1365,15.66941,0,0,114.7471,110,0,2.613416,13.48581,0
14:52:6:512,0.4204102,0.1204834,0.8693848,-0.08789063,-0.1953125,1.053711,7.058105,-60.3154,12.85263,151.9012,28.05412,238.5941,771.1365,28.05412,0,0,114.7471,108,0,5.848464,25.6293,0
14:52:6:543,0.4777832,-0.02587891,0.8613281,-0.1015625,-0.2001953,1.014648,1.659851,-45.63843,29.93713,151.9012,28.05412,238.5941,771.1365,28.05412,0,0,114.7471,186,0,-1.215518,31.89417,0
14:52:6:575,0.5371094,0.01599121,0.8632813,-0.1240234,-0.1884766,0.96875,-0.7252502,-34.48303,33.66806,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,186,0,0.7144473,35.20551,0
14:52:6:607,0.5205078,0.01062012,0.8131104,-0.140625,-0.1181641,0.8710938,-2.29538,-16.21719,4.09729,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,194,0,0.5149311,37.76967,0
14:52:6:639,0.3886719,-0.07214355,0.7458496,-0.1132813,-0.1503906,0.8349609,-2.901001,5.323486,-20.18738,139.5165,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,178,0,-4.365797,31.73578,0
14:52:6:670,0.3587646,-0.06445313,0.7414551,-0.09570313,-0.1806641,0.8349609,-4.314117,23.23044,2.893524,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,206,0,-4.057934,30.28957,0
14:52:6:702,0.3217773,-0.07177734,0.7316895,-0.09765625,-0.1601563,0.8583984,-4.740295,27.26044,10.74417,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,222,0,-4.786772,27.92282,0
14:52:6:792,0.4483643,-0.01196289,1.08728,-0.140625,-0.04882813,1.319336,-1.532745,72.03156,27.4324,151.9012,28.05412,250.9788,783.5212,28.05412,0,0,114.7471,210,0,-0.4203575,20.57965,0
14:52:6:824,0.434082,0.004760742,1.152344,-0.1445313,-0.0390625,1.452148,-1.031799,81.88599,1.9664,151.9012,28.05412,250.9788,783.5212,28.05412,0,0,114.7471,202,0,0.1548088,18.04182,0
14:52:6:856,0.1865234,-0.0579834,1.179077,-0.1494141,-0.015625,1.476563,-2.13089,95.18723,-23.96317,151.9012,28.05412,238.5941,771.1365,28.05412,0,0,114.7471,200,0,-2.106051,7.339074,0
14:52:6:889,3.22644,-0.3188477,-0.6295166,0.06152344,1.663086,-0.6269531,-3.962708,60.34531,-4.560852,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,192,0,-5.029816,77.50247,0
14:52:6:922,-0.1317139,0.06762695,0.1680908,0.1640625,0.8583984,0.609375,-1.248627,68.00903,-59.75464,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,172,0,22.91631,-53.94715,0
14:52:6:953,-0.1638184,-0.07385254,0.9265137,0.005859375,0.2792969,1.09668,-6.183319,61.36215,-72.39792,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,84,0,-4.132176,-9.966154,0
14:52:6:985,0.1385498,-0.05664063,0.8533936,-0.008789063,0.2373047,1.042969,-8.463745,58.45367,-49.39178,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,78,0,-3.738519,10.01041,0
14:52:7:17,0.1384277,-0.1212158,0.9138184,-0.1181641,0.1357422,1.09668,-8.620758,58.06488,9.353485,151.9012,28.05412,263.3636,771.1365,28.05412,0,0,114.7471,76,0,-7.097741,8.236724,0
14:52:7:49,0.104248,-0.05603027,0.8930664,-0.06445313,0.1748047,1.102539,-8.119812,58.55835,42.77481,151.9012,28.05412,263.3636,771.1365,28.05412,0,0,114.7471,70,0,-3.555247,6.962927,0
14:52:7:81,0.1166992,0.08679199,0.8692627,0.02246094,0.2109375,1.099609,-9.009552,60.33035,55.1564,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,70,0,5.681998,7.887002,0
14:52:7:113,0.01904297,0.04711914,0.9095459,-0.01953125,0.09960938,1.124023,-5.951538,62.2818,13.5405,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,74,0,3.186684,1.247619,0
14:52:7:145,0.006103516,0.004150391,0.9455566,-0.1025391,0.008789063,1.188477,-9.854431,65.67627,-3.386993,151.9012,28.05412,250.9788,783.5212,28.05412,0,0,114.7471,74,0,0.2641671,0.3893225,0
14:52:7:177,-0.01550293,-0.01037598,0.947876,-0.1298828,0.04296875,1.15625,-9.316101,66.52115,-7.701111,151.9012,28.05412,263.3636,771.1365,15.66941,0,0,127.1318,74,0,-0.6504294,-0.9772475,0
14:52:7:208,0.1296387,-0.03930664,0.8813477,-0.08007813,-0.009765625,1.110352,-10.85632,70.40909,6.25061,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,72,0,-2.48308,9.026315,0
14:52:7:240,0.06286621,-0.05114746,0.8448486,-0.1005859,-0.015625,1.110352,-10.87128,73.58673,6.280518,151.9012,28.05412,250.9788,783.5212,28.05412,0,0,114.7471,72,0,-3.76793,4.698409,0
14:52:7:272,-0.1689453,-0.05371094,0.8536377,-0.07910156,-0.2822266,1.136719,-12.65076,74.4989,2.452393,151.9012,28.05412,238.5941,783.5212,28.05412,0,0,114.7471,72,0,-3.424242,-12.18479,0
14:52:7:304,-0.2851563,-0.1107178,0.7606201,-0.08984375,0.04296875,1.089844,-12.96478,76.84662,11.46942,151.9012,28.05412,238.5941,783.5212,28.05412,0,0,114.7471,72,0,-7.304918,-22.47552,0
14:52:7:336,-0.3519287,-0.04211426,1.046143,-0.08691406,0.1416016,1.282227,-11.0881,67.14172,31.26801,151.9012,28.05412,238.5941,783.5212,28.05412,0,0,114.7471,70,0,-1.667853,-17.20526,0
14:52:7:368,-0.4328613,-0.009765625,1.128296,-0.0703125,0.2089844,1.357422,-9.772186,58.40881,32.15775,151.9012,28.05412,238.5941,783.5212,28.05412,0,0,114.7471,70,0,-0.3279904,-18.64595,0
14:52:7:400,-0.4819336,0.01672363,1.123413,-0.05371094,0.2685547,1.331055,-8.209534,50.8049,24.23981,151.9012,28.05412,238.5941,783.5212,28.05412,0,0,114.7471,70,0,0.549409,-20.6499,0
14:52:7:432,-0.5019531,-0.1252441,1.058105,-0.03125,0.3740234,1.282227,-5.659943,33.45871,-28.51654,151.9012,15.66941,226.2094,771.1365,28.05412,0,0,114.7471,70,0,-4.416629,-21.96076,0
14:52:7:464,-0.574707,-0.1890869,1.039551,0.01074219,0.3623047,1.210938,-3.947754,16.40411,-11.34979,151.9012,15.66941,226.2094,771.1365,28.05412,0,0,114.7471,70,0,-6.516435,-24.35214,0
14:52:7:497,-0.5980225,-0.2038574,1.061646,0.006835938,0.3984375,1.224609,-1.600037,4.321594,-4.000092,151.9012,15.66941,226.2094,783.5212,28.05412,0,0,114.7471,68,0,-6.739413,-24.19536,0
14:52:7:529,-0.6099854,-0.1352539,1.182251,-0.01269531,0.3525391,1.375,2.257996,-14.00406,-21.65283,151.9012,15.66941,226.2094,783.5212,28.05412,0,0,114.7471,66,0,-3.85405,-21.69813,0
14:52:7:561,-0.4013672,-0.1489258,1.197998,-0.0390625,0.2685547,1.382813,5.278625,-29.55582,-24.70337,151.9012,15.66941,226.2094,783.5212,28.05412,0,0,114.7471,66,0,-4.635928,-14.21774,0
14:52:7:593,-0.3255615,-0.1549072,1.010376,-0.02441406,0.2773438,1.224609,9.293671,-43.50754,-26.89407,151.9012,15.66941,238.5941,783.5212,28.05412,0,0,114.7471,64,0,-6.563086,-15.47703,0
14:52:7:624,-0.369873,-0.1506348,0.901001,-0.009765625,0.2841797,1.131836,11.52924,-50.76004,-26.37817,151.9012,15.66941,238.5941,783.5212,28.05412,0,0,114.7471,62,0,-7.264629,-21.0222,0
14:52:7:656,-0.401001,-0.144165,0.805542,0.00390625,0.2802734,1.09375,14.5723,-62.52106,-19.25278,151.9012,15.66941,238.5941,783.5212,28.05412,0,0,114.7471,60,0,-7.818575,-26.82279,0
14:52:7:688,-0.3634033,-0.1195068,0.8012695,-0.0009765625,0.2421875,1.117188,16.27701,-70.28198,-14.86389,151.9012,15.66941,238.5941,783.5212,28.05412,0,0,114.7471,58,0,-6.778414,-25.51027,0
14:52:7:720,-0.2355957,-0.09692383,0.7421875,-0.03027344,0.1748047,1.112305,17.6004,-82.64114,-5.36087,151.9012,15.66941,238.5941,783.5212,28.05412,0,0,114.7471,54,0,-7.025936,-19.98657,0
14:52:7:752,-0.1973877,-0.08935547,0.7084961,-0.0390625,0.1708984,1.105469,18.72192,-86.50665,-7.297363,151.9012,28.05412,226.2094,783.5212,28.05412,0,0,114.7471,54,0,-7.281146,-18.45939,0
14:52:7:784,-0.1340332,-0.01672363,0.697998,-0.05566406,0.078125,1.109375,20.86777,-90.99274,-29.20441,151.9012,28.05412,238.5941,783.5212,28.05412,0,0,114.7471,80,0,-1.54203,-14.8946,0
14:52:7:816,-0.1854248,-0.1077881,0.7211914,-0.0625,0.03417969,1.146484,21.1145,-92.68997,-20.00046,151.9012,28.05412,238.5941,783.5212,28.05412,0,0,114.7471,84,0,-8.686114,-16.45224,0
14:52:7:849,-0.08850098,-0.112915,0.7294922,-0.08789063,-0.01171875,1.149414,20.8902,-93.89374,-1.166382,151.9012,28.05412,238.5941,783.5212,28.05412,0,0,114.7471,84,0,-10.3109,-7.811931,0
14:52:7:881,0.1816406,-0.02160645,0.81604,-0.078125,-0.1416016,1.163086,19.45465,-89.83383,26.39313,151.9012,28.05412,238.5941,783.5212,28.05412,0,0,114.7471,82,0,-1.460294,14.79906,0
14:52:7:913,0.2706299,-0.104126,0.9003906,-0.1220703,-0.1220703,1.201172,15.41718,-81.93832,36.24756,151.9012,28.05412,238.5941,771.1365,28.05412,0,0,114.7471,80,0,-5.500285,16.47956,0
14:52:7:944,0.3930664,-0.03491211,1.011108,-0.1376953,-0.140625,1.230469,13.94424,-70.55115,29.63806,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,152,0,-1.412959,20.39418,0
14:52:7:976,0.4440918,0.0177002,1.048462,-0.1474609,-0.1337891,1.242188,14.07135,-60.67429,3.708496,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,152,0,0.6570724,21.68204,0
14:52:8:8,0.4436035,0.0246582,1.093018,-0.140625,-0.1728516,1.246094,14.03397,-43.89633,-44.37485,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,150,0,0.8623037,19.99162,0
14:52:8:40,0.3433838,-0.02734375,1.106689,-0.1132813,-0.2265625,1.214844,11.93298,-21.23413,-59.12659,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,148,0,-0.9989653,15.33603,0
14:52:8:72,0.2593994,-0.005371094,1.113281,-0.08691406,-0.4082031,1.225586,10.16098,-12.65823,-45.65338,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,148,0,-0.2053248,11.77151,0
14:52:8:104,0.215332,0.06396484,1.264771,-0.09765625,-0.3554688,1.359375,4.568329,-0.9046936,-10.50491,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,146,0,2.018428,7.375169,0
14:52:8:136,0.3778076,0.03112793,1.285645,-0.1220703,-0.3984375,1.393555,-3.147736,12.23206,37.556,151.9012,28.05412,250.9788,771.1365,40.43883,0,0,114.7471,144,0,0.8782039,12.64493,0
14:52:8:168,0.2901611,-0.06030273,1.023682,-0.1181641,-0.2851563,1.203125,-8.000183,33.08487,75.76996,151.9012,28.05412,263.3636,771.1365,28.05412,0,0,114.7471,142,0,-2.580371,14.6721,0
14:52:8:200,0.1661377,-0.03186035,0.8939209,-0.1142578,-0.1972656,1.074219,-7.222595,42.72995,61.95282,151.9012,28.05412,263.3636,771.1365,28.05412,0,0,114.7471,142,0,-1.890531,11.3064,0
14:52:8:232,0.03039551,-0.07177734,0.842041,-0.1132813,-0.1113281,1.035156,-4.957123,52.21054,16.68823,151.9012,28.05412,263.3636,771.1365,28.05412,0,0,114.7471,184,0,-5.544408,2.229293,0
14:52:8:338,0.07324219,0.09643555,0.9224854,-0.1025391,-0.1845703,1.188477,-12.72552,75.8223,17.54807,151.9012,28.05412,263.3636,783.5212,28.05412,0,0,114.7471,62,0,5.956828,4.420596,0
14:52:8:380,0.03308105,0.08605957,0.8894043,-0.1113281,-0.1367188,1.179688,-15.13306,80.60745,24.49402,151.9012,28.05412,250.9788,771.1365,28.05412,0,0,114.7471,60,0,5.961555,2.159968,0
