TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
12:1:37:558,-0.08947754,0.008178711,0.9537354,-0.09277344,0.078125,1.109375,-11.45447,-14.83398,-14.56482,151.9012,28.05412,226.2094,981.6765,176.6706,0,0,127.1318,48,0,0.4690226,-5.568306,0
12:1:37:588,-0.09240723,0.02612305,0.9554443,-0.08691406,0.06835938,1.112305,-12.29187,-14.90875,-20.5014,151.9012,28.05412,226.2094,981.6765,176.6706,0,0,127.1318,48,0,1.488542,-5.620413,0
12:1:37:620,-0.08813477,0.02331543,0.9910889,-0.08007813,0.04492188,1.148438,-14.24332,-16.56113,-18.84155,151.9012,28.05412,226.2094,981.6765,176.6706,0,0,127.1318,50,0,1.247828,-5.008966,0
12:1:37:652,-0.06323242,0.001464844,1.004639,-0.07910156,0.05566406,1.166992,-16.21719,-16.96487,-14.505,151.9012,28.05412,226.2094,994.0612,189.0553,0,0,127.1318,64,0,0.07825349,-3.579705,0
12:1:37:684,-0.0802002,-0.03771973,0.9532471,-0.07519531,0.08105469,1.117188,-17.0845,-17.59293,-13.59283,151.9012,28.05412,226.2094,994.0612,201.44,0,0,127.1318,64,0,-2.184424,-4.84381,0
12:1:37:716,-0.07458496,-0.08337402,0.868042,-0.06445313,0.1123047,1.041992,-17.40601,-18.535,-10.49744,151.9012,28.05412,226.2094,1006.446,213.8247,0,0,127.1318,92,0,-5.749354,-5.092951,0
12:1:37:748,-0.04003906,-0.1022949,0.881958,-0.0703125,0.08691406,1.061523,-15.61905,-19.88831,-5.891724,151.9012,28.05412,226.2094,1006.446,213.8247,0,0,127.1318,122,0,-7.129072,-2.604672,0
12:1:37:780,-0.01513672,-0.1131592,0.9393311,-0.08203125,0.08984375,1.121094,-15.1181,-20.1799,-0.02990723,151.9012,28.05412,226.2094,1006.446,226.2094,0,0,127.1318,168,0,-7.186247,-0.8711216,0
12:1:37:812,0.03686523,-0.1287842,1.018433,-0.09277344,0.109375,1.180664,-13.72742,-19.58923,3.170166,151.9012,28.05412,226.2094,1018.831,226.2094,0,0,127.1318,64,0,-6.837291,1.810925,0
12:1:37:844,0.07617188,-0.1652832,1.029053,-0.09472656,0.1025391,1.157227,-11.7012,-17.6976,6.833801,151.9012,28.05412,226.2094,1018.831,226.2094,0,0,127.1318,48,0,-8.284525,3.560359,0
12:1:37:876,0.1091309,-0.1810303,0.96521,-0.08789063,0.1025391,1.109375,-8.516083,-14.43024,16.62842,151.9012,28.05412,226.2094,1031.215,238.5941,0,0,127.1318,48,0,-9.867321,5.601711,0
12:1:37:908,0.1176758,-0.2022705,0.9549561,-0.08691406,0.1025391,1.099609,-7.544098,-13.5704,19.54437,151.9012,28.05412,226.2094,1031.215,238.5941,0,0,127.1318,48,0,-11.11434,6.028858,0
12:1:37:940,0.1303711,-0.2301025,0.946167,-0.08691406,0.1181641,1.09375,-3.775787,-10.01892,36.09802,151.9012,28.05412,213.8247,1031.215,238.5941,0,0,127.1318,114,0,-12.64538,6.608312,0
12:1:37:972,0.1188965,-0.2368164,0.8842773,-0.08203125,0.1542969,1.03418,-0.1121521,-7.49176,45.94498,151.9012,28.05412,213.8247,1031.215,238.5941,0,0,127.1318,170,0,-14.72884,6.65669,0
12:1:38:4,0.1088867,-0.2374268,0.8555908,-0.0703125,0.1621094,1.005859,5.630035,-5.33844,53.63113,151.9012,28.05412,213.8247,1031.215,226.2094,0,0,127.1318,204,0,-15.76654,6.40841,0
12:1:38:36,0.09765625,-0.2331543,0.8673096,-0.06347656,0.1484375,1.022461,6.841278,-4.82254,56.74896,151.9012,28.05412,213.8247,1043.6,226.2094,0,0,127.1318,218,0,-15.34094,5.659825,0
12:1:38:68,0.1151123,-0.2281494,0.8945313,-0.05664063,0.1318359,1.053711,11.56662,-3.686066,78.13263,151.9012,28.05412,213.8247,1043.6,226.2094,0,0,127.1318,236,0,-13.99646,6.387123,0
12:1:38:100,0.1134033,-0.1707764,0.8994141,-0.05566406,0.1591797,1.055664,14.44519,-2.751465,84.74213,151.9012,28.05412,213.8247,1043.6,213.8247,0,0,127.1318,238,0,-10.48974,6.602633,0
12:1:38:132,0.1016846,-0.1479492,0.8962402,-0.05566406,0.171875,1.046875,16.53122,-1.854248,78.3345,151.9012,28.05412,213.8247,1031.215,189.0553,0,0,127.1318,244,0,-9.285266,6.10185,0
12:1:38:164,0.05822754,-0.1265869,0.9143066,-0.05566406,0.1640625,1.061523,18.8266,-1.323395,71.35117,151.9012,28.05412,213.8247,1031.215,189.0553,0,0,127.1318,246,0,-8.057645,3.461798,0
12:1:38:196,0.03259277,-0.07995605,0.9851074,-0.06640625,0.1367188,1.139648,20.55374,-2.915955,79.13452,151.9012,28.05412,226.2094,1018.831,176.6706,0,0,127.1318,248,0,-4.557671,1.777268,0
12:1:38:228,0.01477051,-0.02807617,1.057495,-0.07519531,0.1367188,1.202148,20.09018,-3.985138,90.95535,151.9012,15.66941,226.2094,1018.831,176.6706,0,0,127.1318,242,0,-1.419438,0.7381905,0
12:1:38:260,0.01708984,-0.01623535,1.067261,-0.07226563,0.1484375,1.219727,20.12756,-4.9646,90.6488,151.9012,28.05412,226.2094,1018.831,176.6706,0,0,127.1318,240,0,-0.804539,0.8475035,0
12:1:38:292,0.03112793,0.01257324,1.068848,-0.1015625,0.1318359,1.226563,19.86588,-5.091705,68.32306,151.9012,15.66941,226.2094,1006.446,176.6706,0,0,127.1318,238,0,0.6138281,1.54377,0
12:1:38:323,0.03845215,-0.02941895,1.121704,-0.1181641,0.04980469,1.273438,20.1799,-3.259888,42.48322,151.9012,15.66941,226.2094,994.0612,151.9012,0,0,127.1318,234,0,-1.299706,1.710488,0
12:1:38:355,0.04846191,-0.02600098,1.135376,-0.1259766,0.02734375,1.277344,19.71634,-2.527161,43.19351,151.9012,15.66941,226.2094,994.0612,151.9012,0,0,127.1318,232,0,-1.113655,2.110448,0
12:1:38:387,-0.004394531,-0.0213623,1.051636,-0.1035156,0.0546875,1.199219,18.86398,0.2392578,43.64212,151.9012,15.66941,226.2094,994.0612,151.9012,0,0,127.1318,228,0,-1.10221,-0.2233539,0
12:1:38:419,-0.06396484,-0.04296875,0.94104,-0.07421875,0.06542969,1.091797,18.16116,0.07476807,43.95615,151.9012,15.66941,226.2094,1006.446,151.9012,0,0,127.1318,222,0,-2.591042,-3.940803,0
12:1:38:451,-0.06860352,-0.05688477,0.9501953,-0.0625,0.03808594,1.09668,17.1817,-1.128998,50.85724,151.9012,15.66941,226.2094,1006.446,151.9012,0,0,127.1318,220,0,-3.351132,-4.088558,0
12:1:38:483,-0.03918457,-0.03466797,0.9727783,-0.07519531,0.03417969,1.123047,17.1817,-1.562653,49.62357,151.9012,15.66941,226.2094,1006.446,151.9012,0,0,127.1318,220,0,-2.014759,-2.287458,0
12:1:38:515,-0.005737305,-0.02368164,1.021851,-0.09570313,-0.09570313,1.154297,16.35925,1.046753,31.41754,151.9012,15.66941,226.2094,1006.446,176.6706,0,0,127.1318,220,0,-1.29213,-0.3078307,0
12:1:38:547,0.003417969,-0.03222656,1.041138,-0.1103516,-0.2255859,1.171875,15.07324,3.72345,26.36322,151.9012,28.05412,226.2094,1006.446,176.6706,0,0,127.1318,220,0,-1.697563,0.1754485,0
12:1:38:579,-0.09472656,-0.06018066,1.017212,-0.1103516,-0.1171875,1.155273,12.48627,12.28439,22.06406,151.9012,28.05412,213.8247,1018.831,176.6706,0,0,127.1318,222,0,-3.050025,-4.944696,0
12:1:38:611,-0.09008789,-0.08056641,1.054321,-0.08496094,0.2294922,1.170898,13.28629,10.19836,29.83994,151.9012,28.05412,213.8247,1031.215,176.6706,0,0,127.1318,194,0,-3.83564,-4.321455,0
12:1:38:643,-0.03393555,-0.08642578,1.112915,-0.1484375,0.07910156,1.335938,15.19287,8.321686,24.67346,151.9012,15.66941,213.8247,1043.6,176.6706,0,0,127.1318,50,0,-3.885406,-1.467117,0
12:1:38:675,-0.01428223,-0.07617188,1.185425,-0.09082031,0.1630859,1.335938,15.59662,8.531036,22.60239,151.9012,15.66941,201.44,1055.985,189.0553,0,0,127.1318,56,0,-3.071576,-0.552372,0
12:1:38:723,0.02148438,0.05371094,1.129395,-0.1337891,0.07421875,1.257813,16.52374,9.323578,-7.245026,151.9012,28.05412,213.8247,1055.985,226.2094,0,0,127.1318,62,0,2.371329,0.9259834,0
12:1:38:755,0.07226563,0.1004639,1.193604,-0.1269531,0.06152344,1.292969,14.56482,9.764709,11.00586,151.9012,28.05412,213.8247,1055.985,226.2094,0,0,127.1318,188,0,3.839485,2.71279,0
12:1:38:787,0.1408691,0.171875,1.217041,-0.04101563,0.08105469,1.324219,9.555359,11.55914,40.02335,151.9012,28.05412,213.8247,1043.6,226.2094,0,0,127.1318,200,0,6.048553,4.870807,0
12:1:38:820,0.09765625,0.2072754,1.131104,0.0234375,0.2216797,1.245117,1.577606,14.0863,29.82498,151.9012,28.05412,213.8247,1031.215,226.2094,0,0,127.1318,208,0,8.559967,3.75824,0
12:1:38:852,0.009765625,0.1687012,1.08374,0.03027344,0.2353516,1.22168,-0.1345825,13.60779,25.82489,151.9012,28.05412,213.8247,1031.215,226.2094,0,0,127.1318,208,0,8.107409,0.4165587,0
12:1:38:884,-0.06274414,0.05212402,0.965332,0.02246094,0.2490234,1.115234,-7.058105,8.000183,41.17477,151.9012,28.05412,213.8247,1018.831,226.2094,0,0,127.1318,30,0,2.999926,-3.648527,0
12:1:38:916,-0.05554199,0.02770996,0.956543,0.02148438,0.2578125,1.109375,-7.828217,6.213226,47.10388,151.9012,28.05412,213.8247,1018.831,226.2094,0,0,127.1318,26,0,1.635452,-3.37191,0
12:1:38:964,-0.0003662109,0.004394531,0.9107666,-0.00390625,0.2998047,1.049805,-10.81146,-2.586975,29.98947,151.9012,28.05412,213.8247,1018.831,226.2094,0,0,127.1318,26,0,0.3034067,-0.02516199,0
12:1:38:996,-0.02600098,-0.03588867,0.8953857,0.0009765625,0.28125,1.03418,-10.63202,-4.344025,18.13873,151.9012,28.05412,213.8247,1018.831,226.2094,0,0,127.1318,130,0,-2.482713,-1.778009,0
12:1:39:28,-0.04199219,-0.03271484,0.8583984,-0.0078125,0.2490234,1.010742,-10.95352,-7.985229,15.85831,151.9012,28.05412,213.8247,1018.831,213.8247,0,0,127.1318,36,0,-2.405271,-3.123321,0
12:1:39:59,-0.01672363,-0.0213623,0.8082275,-0.03222656,0.2060547,0.9482422,-10.78156,-10.73669,8.074951,151.9012,28.05412,213.8247,1018.831,189.0553,0,0,127.1318,34,0,-1.826324,-1.420109,0
12:1:39:91,-0.0168457,-0.03344727,0.7921143,-0.03125,0.1953125,0.9404297,-11.23764,-11.71616,9.906769,151.9012,28.05412,213.8247,1018.831,189.0553,0,0,127.1318,84,0,-2.971746,-1.460115,0
12:1:39:123,-0.03820801,-0.01953125,0.7335205,-0.04589844,0.234375,0.875,-11.87317,-15.46951,20.80795,151.9012,28.05412,213.8247,1031.215,201.44,0,0,127.1318,188,0,-1.941189,-3.920023,0
12:1:39:155,-0.02819824,-0.03088379,0.7279053,-0.09082031,0.1953125,0.8867188,-10.74417,-17.20413,11.91803,151.9012,28.05412,213.8247,1043.6,213.8247,0,0,127.1318,204,0,-3.167683,-2.878891,0
12:1:39:187,0.09375,-0.03015137,0.9396973,-0.1757813,0.1904297,1.044922,-9.27124,-17.892,2.459869,151.9012,28.05412,213.8247,1055.985,213.8247,0,0,127.1318,206,0,-1.76805,5.861619,0
12:1:39:219,0.1000977,-0.08618164,1.000366,-0.2275391,0.1552734,1.124023,-6.826324,-15.99289,-16.32187,151.9012,28.05412,213.8247,1055.985,201.44,0,0,127.1318,206,0,-4.476433,5.261723,0
12:1:39:251,0.08557129,-0.1464844,1.011719,-0.2744141,0.1054688,1.140625,-1.106567,-12.10495,2.736511,151.9012,28.05412,226.2094,1080.754,201.44,0,0,127.1318,204,0,-7.523484,4.182831,0
12:1:39:491,-0.02636719,0.1695557,1.023315,0.5380859,-0.4189453,1.289063,28.26233,11.3797,49.90021,151.9012,28.05412,226.2094,1167.447,238.5941,0,0,114.7471,202,0,8.975183,-1.241436,0
12:1:39:555,-0.2528076,-0.1652832,0.6474609,-0.04882813,0.4130859,0.8525391,4.620667,13.26385,36.09802,151.9012,15.66941,226.2094,1241.755,226.2094,0,0,127.1318,44,0,-13.81776,-23.38982,0
12:1:39:587,-0.1408691,-0.01965332,0.8447266,-0.01953125,0.1630859,1.188477,7.349701,11.08063,22.45285,151.9012,15.66941,226.2094,1266.525,238.5941,0,0,114.7471,42,0,-1.317663,-10.87543,0
12:1:39:619,-0.03015137,-0.06396484,0.9882813,-0.08007813,0.1708984,1.105469,8.643188,10.41519,-10.58716,151.9012,15.66941,226.2094,1278.909,238.5941,0,0,114.7471,132,0,-3.635092,-1.659577,0
12:1:39:651,0.006958008,-0.03771973,0.9685059,-0.1220703,0.1240234,1.133789,9.031982,8.643188,4.029999,151.9012,15.66941,226.2094,1278.909,238.5941,0,0,114.7471,136,0,-2.285844,0.4085766,0
12:1:39:683,0.0002441406,0.04406738,0.9532471,-0.109375,0.171875,1.089844,8.224487,8.329163,9.256287,139.5165,15.66941,226.2094,1291.294,238.5941,0,0,114.7471,32,0,2.775699,0.01468199,0
12:1:39:715,-0.03271484,-0.002075195,0.9970703,-0.1191406,0.1630859,1.136719,7.775879,7.409515,13.9592,139.5165,15.66941,226.2094,1316.064,238.5941,0,0,114.7471,84,0,-0.1157892,-1.88085,0
12:1:39:747,0.001831055,0.04992676,1.001709,-0.1113281,0.171875,1.136719,7.955322,6.706696,14.92371,139.5165,15.66941,226.2094,1316.064,238.5941,0,0,114.7471,68,0,2.843311,0.09959827,0
12:1:39:778,0.004882813,0.07739258,0.9958496,-0.1181641,0.1787109,1.12793,7.663727,6.056213,12.74796,139.5165,15.66941,226.2094,1316.064,238.5941,0,0,127.1318,62,0,4.440487,0.2616783,0
12:1:39:810,0.01623535,0.07287598,0.9906006,-0.1328125,0.171875,1.124023,6.160889,5.772095,16.91254,139.5165,15.66941,226.2094,1303.679,238.5941,0,0,127.1318,74,0,4.178423,0.8823506,0
12:1:39:842,0.01062012,0.04333496,0.9781494,-0.1181641,0.1806641,1.121094,5.061798,5.241241,22.63977,139.5165,15.66941,226.2094,1303.679,238.5941,0,0,127.1318,182,0,2.564876,0.6083974,0
12:1:39:874,0.05187988,0.01330566,0.9943848,-0.1132813,0.1992188,1.131836,5.36087,5.517883,10.81894,151.9012,28.05412,226.2094,1303.679,226.2094,0,0,127.1318,40,0,0.7325174,2.963603,0
12:1:39:906,0.01403809,0.0447998,0.9912109,-0.1240234,0.1806641,1.12793,5.831909,6.60202,-6.347809,151.9012,15.66941,226.2094,1278.909,226.2094,0,0,127.1318,38,0,2.574026,0.7829007,0
12:1:40:65,-0.04284668,0.04736328,0.9910889,-0.1425781,0.171875,1.120117,3.319702,2.205658,-3.618774,151.9012,15.66941,238.5941,1278.909,226.2094,0,0,127.1318,60,0,2.645378,-2.382935,0
12:1:40:97,-0.0657959,0.05310059,0.9926758,-0.1494141,0.171875,1.118164,2.990723,1.562653,-3.282318,151.9012,15.66941,238.5941,1278.909,226.2094,0,0,127.1318,60,0,2.891793,-3.625204,0
12:1:40:129,-0.08374023,0.04919434,0.9779053,-0.1445313,0.1796875,1.116211,2.377625,-1.016846,-1.532745,151.9012,28.05412,226.2094,1303.679,226.2094,0,0,127.1318,188,0,2.708099,-4.760764,0
12:1:40:161,-0.06872559,0.02722168,1.00293,-0.1445313,0.1835938,1.124023,2.751465,-2.676697,-1.929016,151.9012,28.05412,226.2094,1340.833,238.5941,0,0,127.1318,72,0,1.45111,-3.805955,0
12:1:40:193,-0.05651855,0.04162598,0.987793,-0.140625,0.1933594,1.121094,2.841187,-3.544006,-6.048737,151.9012,28.05412,226.2094,1353.218,250.9788,0,0,127.1318,44,0,2.309221,-3.179746,0
12:1:40:226,0.0001220703,0.1091309,0.9853516,-0.1601563,0.2011719,1.109375,2.123413,-4.463654,-6.721649,151.9012,28.05412,226.2094,1390.372,263.3636,0,0,127.1318,34,0,6.412313,0.00647574,0
12:1:40:258,0.03161621,0.1431885,0.9859619,-0.1484375,0.1982422,1.110352,-0.3215027,-4.927216,-0.7102966,151.9012,15.66941,226.2094,1402.757,275.7483,0,0,127.1318,34,0,8.118772,1.623756,0
12:1:40:290,0.05761719,0.1239014,0.9844971,-0.1259766,0.1943359,1.116211,-1.951447,-4.575806,5.36087,151.9012,15.66941,226.2094,1402.757,275.7483,0,0,127.1318,34,0,6.880128,3.017164,0
12:1:40:322,0.08605957,0.1105957,0.987915,-0.140625,0.21875,1.115234,-3.289795,-3.74588,9.27124,151.9012,28.05412,226.2094,1402.757,275.7483,0,0,127.1318,34,0,5.945101,4.528535,0
12:1:40:354,0.1306152,0.06555176,0.9951172,-0.1289063,0.2275391,1.12793,-4.11972,-3.20755,9.323578,151.9012,28.05412,226.2094,1390.372,275.7483,0,0,114.7471,52,0,3.347002,7.052283,0
12:1:40:386,0.1774902,0.05761719,0.9941406,-0.1103516,0.2304688,1.115234,-4.508514,-0.8972168,7.895508,151.9012,28.05412,226.2094,1365.602,275.7483,0,0,127.1318,74,0,2.829406,9.631096,0
12:1:40:418,0.1743164,0.04187012,0.9852295,-0.1103516,0.234375,1.121094,-5.241241,2.003784,2.534637,151.9012,28.05412,226.2094,1340.833,275.7483,0,0,114.7471,60,0,2.094259,9.76808,0
12:1:40:450,0.1848145,0.03173828,0.989502,-0.1035156,0.2333984,1.117188,-4.994507,4.082336,-0.6056213,151.9012,28.05412,213.8247,1328.448,263.3636,0,0,127.1318,60,0,1.561968,10.36097,0
12:1:40:482,0.1607666,-0.01269531,0.9924316,-0.1064453,0.2255859,1.124023,-4.643097,6.168365,-0.8000183,151.9012,28.05412,213.8247,1291.294,263.3636,0,0,127.1318,188,0,-0.6348662,9.154556,0
12:1:40:514,0.1025391,-0.03088379,0.9906006,-0.1054688,0.2119141,1.121094,-3.74588,7.693634,-0.8598328,151.9012,28.05412,213.8247,1254.14,250.9788,0,0,127.1318,200,0,-1.632207,5.784662,0
12:1:40:546,0.08300781,-0.04504395,0.9938965,-0.09765625,0.2109375,1.117188,-3.529053,8.074951,-1.084137,151.9012,28.05412,226.2094,1241.755,250.9788,0,0,127.1318,200,0,-2.408681,4.594749,0
12:1:40:577,0.01281738,-0.03417969,0.9794922,-0.09863281,0.2041016,1.117188,-1.629944,8.52356,-6.265564,151.9012,28.05412,226.2094,1216.986,238.5941,0,0,127.1318,148,0,-2.013475,0.7390827,0
12:1:40:609,-0.04675293,-0.03540039,0.9898682,-0.109375,0.1875,1.124023,-0.03738403,7.409515,-4.067383,151.9012,28.05412,226.2094,1192.217,238.5941,0,0,127.1318,42,0,-1.974971,-2.636673,0
12:1:40:641,-0.0345459,-0.004882813,0.9893799,-0.1113281,0.1875,1.117188,0.9869385,5.757141,-4.201965,151.9012,28.05412,213.8247,1179.832,238.5941,0,0,127.1318,40,0,-0.2760581,-2.011192,0
12:1:40:673,-0.008911133,0.01220703,0.9858398,-0.1113281,0.1904297,1.123047,1.143951,4.830017,-4.09729,151.9012,28.05412,213.8247,1179.832,238.5941,0,0,127.1318,40,0,0.7130724,-0.5188121,0
12:1:40:705,0.02233887,0.01782227,0.9841309,-0.1103516,0.1992188,1.112305,1.099091,3.327179,0.2168274,151.9012,28.05412,213.8247,1179.832,238.5941,0,0,127.1318,40,0,1.030457,1.297432,0
12:1:40:737,0.06750488,-0.002563477,0.9842529,-0.109375,0.2021484,1.118164,1.4505,4.194489,-0.2766418,151.9012,28.05412,213.8247,1179.832,238.5941,0,0,127.1318,42,0,-0.1417369,3.975566,0
12:1:40:769,0.07946777,-0.01733398,0.986084,-0.1083984,0.2021484,1.124023,1.75705,4.329071,-2.160797,151.9012,28.05412,213.8247,1179.832,238.5941,0,0,127.1318,180,0,-0.94414,4.590725,0
12:1:40:801,0.06726074,0.0008544922,0.9873047,-0.1162109,0.1992188,1.123047,2.990723,5.016937,-5.158997,151.9012,28.05412,213.8247,1179.832,238.5941,0,0,127.1318,192,0,0.04698399,3.943799,0
12:1:40:833,0.05297852,0.02050781,0.9963379,-0.1162109,0.1992188,1.124023,2.699127,5.674896,-4.104767,151.9012,28.05412,213.8247,1179.832,238.5941,0,0,127.1318,50,0,1.123551,2.993182,0
12:1:40:865,0.02124023,0.02563477,0.9891357,-0.1240234,0.1943359,1.112305,3.02063,5.764618,-4.396362,151.9012,28.05412,213.8247,1179.832,226.2094,0,0,127.1318,44,0,1.468986,1.211917,0
12:1:40:897,-0.0009765625,0.02587891,0.9849854,-0.1240234,0.1943359,1.110352,3.162689,5.585175,-3.977661,151.9012,28.05412,213.8247,1179.832,226.2094,0,0,127.1318,44,0,1.526403,-0.05617337,0
12:1:40:929,-0.02966309,0.02758789,0.9901123,-0.1259766,0.1943359,1.121094,3.192596,4.344025,-4.089813,151.9012,28.05412,213.8247,1167.447,226.2094,0,0,127.1318,44,0,1.564653,-1.685745,0
12:1:40:961,-0.03503418,0.03393555,0.9831543,-0.1367188,0.1865234,1.113281,3.125305,3.252411,-3.476715,151.9012,28.05412,213.8247,1167.447,226.2094,0,0,127.1318,186,0,1.940464,-2.005432,0
12:1:40:993,-0.03967285,0.03308105,0.9915771,-0.1328125,0.1943359,1.121094,3.177643,1.211243,-2.115936,151.9012,28.05412,213.8247,1179.832,226.2094,0,0,127.1318,68,0,1.85233,-2.235481,0
12:1:41:25,-0.02600098,0.03222656,0.9810791,-0.1328125,0.1962891,1.118164,3.259888,0.6803894,-3.072968,151.9012,28.05412,213.8247,1179.832,226.2094,0,0,127.1318,68,0,1.867233,-1.497279,0
12:1:41:57,0.02954102,0.04931641,0.9848633,-0.1367188,0.2060547,1.112305,3.140259,-0.1046753,-6.863708,151.9012,28.05412,213.8247,1192.217,226.2094,0,0,127.1318,188,0,2.824754,1.660108,0
12:1:41:89,0.0802002,0.05285645,0.9970703,-0.1376953,0.2060547,1.121094,2.841187,0.1495361,-8.291779,151.9012,28.05412,213.8247,1204.601,238.5941,0,0,127.1318,198,0,2.816599,4.380279,0
12:1:41:121,0.08300781,0.06665039,0.9902344,-0.1328125,0.2109375,1.118164,2.811279,0.8822632,-6.273041,151.9012,28.05412,213.8247,1216.986,238.5941,0,0,127.1318,200,0,3.58584,4.532094,0
12:1:41:153,0.07263184,0.07873535,1.00061,-0.1425781,0.2119141,1.121094,1.854248,1.540222,-3.529053,151.9012,28.05412,213.8247,1204.601,238.5941,0,0,127.1318,202,0,4.193447,3.8476,0
12:1:41:392,0.01855469,-0.03173828,0.9888916,-0.1269531,0.203125,1.12793,5.420685,7.888031,-14.13864,151.9012,28.05412,213.8247,1105.524,226.2094,0,0,127.1318,26,0,-1.824311,1.052831,0
12:1:41:424,-0.01416016,0.01098633,0.9951172,-0.1533203,0.2011719,1.117188,6.39267,7.618866,-18.20602,151.9012,28.05412,213.8247,1080.754,238.5941,0,0,127.1318,24,0,0.6266763,-0.8102547,0
12:1:41:456,-0.03515625,0.06201172,0.9819336,-0.1640625,0.1904297,1.117188,6.721649,5.802002,-15.41718,151.9012,28.05412,213.8247,1093.139,238.5941,0,0,127.1318,24,0,3.550769,-1.9621,0
12:1:41:488,-0.02416992,0.06518555,1.000366,-0.1728516,0.1875,1.118164,6.489868,4.486084,-4.807587,151.9012,28.05412,213.8247,1117.908,250.9788,0,0,127.1318,170,0,3.639208,-1.298972,0
12:1:41:520,0.01208496,0.1102295,1.007446,-0.1650391,0.2167969,1.12793,6.20575,4.07486,-4.643097,151.9012,28.05412,213.8247,1130.293,263.3636,0,0,127.1318,58,0,6.125996,0.6153612,0
12:1:41:552,0.03088379,0.08068848,0.9991455,-0.1689453,0.2148438,1.132813,5.271149,4.246826,-12.26944,151.9012,28.05412,213.8247,1142.678,275.7483,0,0,127.1318,38,0,4.482881,1.639537,0
12:1:41:584,0.04931641,0.0246582,1.099976,-0.1533203,0.2041016,1.185547,5.577698,4.291687,-12.57599,151.9012,28.05412,213.8247,1130.293,275.7483,0,0,127.1318,36,0,1.121792,2.28747,0
12:1:41:616,0.08178711,0.0604248,1.174561,-0.1103516,0.2041016,1.302734,5.458069,5.428162,-22.46033,151.9012,28.05412,213.8247,1117.908,263.3636,0,0,127.1318,36,0,2.367705,3.250674,0
12:1:41:649,0.07397461,0.09741211,1.173584,-0.08496094,0.1982422,1.287109,5.218811,6.587067,-37.14478,151.9012,28.05412,201.44,1117.908,250.9788,0,0,127.1318,36,0,3.840035,2.871669,0
12:1:41:681,-0.008789063,0.1014404,1.06189,-0.02734375,0.2412109,1.177734,1.772003,5.944061,-32.15775,151.9012,28.05412,213.8247,1093.139,250.9788,0,0,127.1318,18,0,5.100978,-0.409721,0
12:1:41:713,-0.02124023,0.04431152,0.9816895,-0.02832031,0.2373047,1.121094,-2.512207,1.532745,-19.77615,151.9012,28.05412,201.44,1068.37,238.5941,0,0,127.1318,58,0,2.575909,-1.207108,0
12:1:41:745,-0.02404785,0.04699707,0.9090576,-0.02441406,0.3115234,1.058594,-3.9328,-2.512207,-9.734802,151.9012,28.05412,201.44,1055.985,238.5941,0,0,127.1318,56,0,3.16309,-1.577192,0
12:1:41:777,-0.02966309,0.06176758,0.9116211,-0.015625,0.3085938,1.071289,-4.194489,-4.82254,-23.67905,151.9012,28.05412,201.44,1043.6,238.5941,0,0,127.1318,56,0,4.104681,-1.902896,0
12:1:41:809,-0.006225586,0.09326172,0.9498291,-0.02246094,0.2324219,1.086914,-5.85434,-8.082428,-33.99704,151.9012,28.05412,213.8247,1043.6,238.5941,0,0,127.1318,56,0,5.861781,-0.3583302,0
12:1:41:841,0.07519531,0.1564941,1.019531,-0.04785156,0.2060547,1.136719,-10.25818,-10.8638,-28.2399,151.9012,28.05412,213.8247,1043.6,238.5941,0,0,127.1318,184,0,7.992026,3.59777,0
