TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
10:59:39:688,-0.03881836,0.009521484,0.6369629,-0.2099609,0.4521484,0.9296875,-12.05261,-51.99371,-0.2018738,176.6706,89.97765,969.2918,808.2906,52.82353,176.6706,0,127.1318,44,0.878841,1.227015,-5.340684,0
10:59:39:722,0.1329346,0.06640625,0.7983398,-0.1728516,0.1679688,0.9511719,-7.319794,-51.26846,-17.94434,176.6706,89.97765,944.5224,795.9059,52.82353,213.8247,0,127.1318,44,0.3096001,4.92731,10.69678,0
10:59:39:754,0.2768555,0.1677246,0.7344971,-0.09472656,-0.40625,0.8193359,-12.43393,-42.9393,15.28259,176.6706,89.97765,994.0612,771.1365,52.82353,300.5177,0,127.1318,104,0,11.61036,21.37912,0
10:59:39:786,0.2597656,0.2990723,0.6645508,-0.2578125,-0.1455078,0.8359375,-14.25079,-36.92047,36.8158,176.6706,89.97765,1031.215,771.1365,65.20824,362.4412,0,127.1318,134,0,23.09327,19.32592,0
10:59:39:818,0.1463623,0.2266846,0.6984863,-0.5234375,-0.02246094,0.8154297,-11.52176,-20.56122,6.459961,176.6706,89.97765,1117.908,771.1365,65.20824,486.2883,0,127.1318,154,0,19.66731,11.57558,0
10:59:39:850,0.1590576,0.05773926,0.8065186,-0.5869141,-0.1220703,0.9335938,-7.319794,-1.749573,-4.762726,164.2859,89.97765,1179.832,758.7518,65.20824,572.9812,0,127.1318,198,0,4.07968,12.65805,0
10:59:39:881,0.1583252,0.1704102,0.84021,-0.6191406,-0.1425781,0.9287109,-5.31601,10.10864,5.517883,164.2859,89.97765,1179.832,758.7518,65.20824,597.7506,0,127.1318,234,0,11.15397,10.24069,0
10:59:39:913,0.1083984,0.2532959,0.8640137,-0.6416016,-0.1318359,0.9091797,-6.108551,17.1817,21.12946,164.2859,89.97765,1179.832,758.7518,65.20824,597.7506,0,127.1318,236,0,16.50355,6.18775,0
10:59:39:945,0.02246094,0.31604,0.7905273,-0.5390625,-0.0703125,0.9384766,-6.803894,29.25674,24.14261,164.2859,89.97765,1142.678,758.7518,65.20824,572.9812,0,127.1318,244,0,26.02035,1.367384,0
10:59:39:977,-0.1761475,0.277832,0.8139648,-0.4765625,0.01855469,0.9570313,-8.089905,37.35413,30.24368,176.6706,89.97765,1093.139,758.7518,65.20824,535.8271,0,127.1318,228,0,18.32851,-10.60953,0
10:59:40:10,-0.3041992,0.2484131,0.765625,-0.4384766,0.1367188,0.9228516,-7.215118,38.02704,29.05487,176.6706,89.97765,1068.37,771.1365,65.20824,486.2883,0,127.1318,220,0,15.58891,-20.02616,0
10:59:40:41,-0.3041992,0.220459,0.8375244,-0.4609375,0.1484375,1.042969,-5.929108,37.11487,29.85489,176.6706,89.97765,1068.37,758.7518,65.20824,473.9036,0,127.1318,216,0,12.36485,-18.26122,0
10:59:40:74,-0.31604,0.1126709,0.9573975,-0.5751953,0.3046875,1.152344,-0.8000183,35.76904,14.02649,176.6706,89.97765,1080.754,733.9824,65.20824,511.0577,0,127.1318,236,0,5.222633,-17.06907,0
10:59:40:106,-0.3149414,-0.02514648,1.556152,-0.34375,1.155273,1.999023,8.127289,6.796417,-25.0174,176.6706,89.97765,1340.833,733.9824,65.20824,288.133,0,127.1318,30,0,-0.5264826,-7.334663,0
10:59:40:137,2.117798,-0.8144531,2.991211,0.2089844,1.476563,1.999023,-7.409515,-13.79471,6.295471,176.6706,89.97765,1266.525,746.3671,65.20824,350.0565,0,127.1318,26,0,-4.209682,12.24049,0
10:59:40:169,-0.3708496,0.0300293,0.6550293,0.5146484,1.179688,0.6162109,9.884338,20.06027,-39.60464,176.6706,89.97765,1303.679,783.5212,65.20824,411.98,0,127.1318,16,0,2.149914,-38.93087,0
10:59:40:201,-0.166748,0.118042,0.9213867,-0.2265625,0.006835938,0.8515625,6.542206,21.89957,52.05353,176.6706,89.97765,1377.987,820.6754,52.82353,449.1342,0,127.1318,16,0,6.629017,-9.783828,0
10:59:40:233,-0.145752,0.1097412,0.9793701,-0.4189453,0.2021484,1.130859,5.233765,19.96307,31.41754,176.6706,89.97765,1390.372,870.2142,52.82353,312.9024,0,127.1318,16,0.3096075,5.672055,-7.76474,0
10:59:40:265,-0.2319336,-0.01611328,1.063965,-0.2509766,0.09277344,1.148438,7.671204,21.29395,19.59671,176.6706,89.97765,1377.987,894.9836,52.82353,238.5941,0,127.1318,16,5.779624,-0.6768407,-11.42057,0
10:59:40:297,-0.3203125,0.01086426,1.029297,-0.2275391,0.08398438,1.117188,8.052521,22.38556,6.669312,164.2859,89.97765,1390.372,932.1377,52.82353,164.2859,0,127.1318,16,7.835701,0.4511373,-16.66081,0
10:59:40:329,-0.5412598,0.2376709,1.027588,-0.2861328,0.08984375,1.130859,8.792725,22.43042,-38.01208,176.6706,89.97765,1452.295,919.753,52.82353,213.8247,0,127.1318,16,8.837154,8.463794,-22.70497,0
10:59:40:362,-0.2161865,0.3348389,1.091431,-0.3613281,-0.05566406,1.112305,3.880463,20.82291,-59.45557,176.6706,89.97765,1464.68,882.5989,52.82353,238.5941,0,127.1318,16,9.821452,13.38255,-8.063052,0
10:59:40:393,-0.08520508,0.2952881,0.9666748,-0.28125,0.3369141,1.179688,1.143951,20.50888,-38.00461,176.6706,89.97765,1452.295,870.2142,52.82353,238.5941,0,127.1318,16,10.3073,16.15066,-3.963495,0
10:59:40:425,-0.07373047,0.1416016,1.124023,-0.2236328,0.015625,1.133789,-8.261871,16.73309,31.1409,176.6706,89.97765,1353.218,845.4448,52.82353,189.0553,0,127.1318,16,9.821452,6.04494,-3.003902,0
10:59:40:457,-0.3093262,0.01745605,0.8693848,-0.3007813,0.03710938,1.123047,-7.536621,16.83777,52.81616,176.6706,89.97765,1216.986,845.4448,52.82353,127.1318,0,127.1318,16,9.821452,0.9388941,-21.80216,0
10:59:40:489,-0.3634033,-0.1247559,0.8956299,-0.2050781,0.06152344,1.131836,-5.532837,16.89758,8.127289,176.6706,89.97765,1192.217,845.4448,52.82353,102.3624,0,127.1318,16,9.821452,-6.109421,-21.40813,0
10:59:40:521,-0.31604,-0.1190186,0.9713135,-0.2353516,-0.015625,1.139648,-0.9420776,14.80408,-10.87875,176.6706,89.97765,1142.678,833.0601,52.82353,3.284706,0,127.1318,14,9.821452,-5.398273,-16.56555,0
10:59:40:553,-0.2757568,-0.1219482,1.059326,-0.2783203,-0.006835938,1.167969,2.078552,14.97604,-17.86209,176.6706,89.97765,1043.6,795.9059,65.20824,0,0,127.1318,14,9.331422,-4.985573,-12.49746,0
10:59:40:585,-0.1800537,0.02587891,1.072144,-0.3095703,0.06933594,1.225586,3.155212,15.76859,-32.61383,176.6706,89.97765,857.8295,771.1365,52.82353,3.284706,0,127.1318,14,7.328401,1.115091,-8.70937,0
10:59:40:617,-0.06469727,0.01867676,1.201782,-0.2421875,0.07714844,1.451172,3.297272,16.47141,-15.0882,176.6706,89.97765,758.7518,771.1365,52.82353,15.66941,0,127.1318,14,5.254216,0.709119,-2.532177,0
10:59:40:649,-0.02172852,0.1003418,1.578735,-0.2597656,0.3466797,1.802734,-0.5233765,5.323486,78.04291,176.6706,89.97765,845.4448,808.2906,52.82353,0,0,127.1318,14,4.724156,2.285523,-0.480156,0
10:59:40:681,0.1126709,0.3706055,1.362671,0.0546875,0.6484375,1.459961,-9.144135,6.362762,50.90958,176.6706,89.97765,932.1377,833.0601,52.82353,0,0,127.1318,14,4.189385,10.65664,2.895684,0
10:59:40:713,0.03588867,0.2445068,1.174316,0.0859375,0.7089844,1.357422,-15.16296,3.506622,24.94263,176.6706,89.97765,981.6765,845.4448,52.82353,0,0,127.1318,14,1.442993,9.804319,1.266339,0
10:59:40:746,-0.166626,0.2144775,0.6329346,0.03808594,0.921875,0.8154297,-22.37061,-13.77975,31.58203,176.6706,89.97765,1031.215,870.2142,52.82353,15.66941,0,127.1318,14,0,20.71223,-15.15761,0
10:59:40:778,-0.1407471,-0.07592773,0.592041,-0.2744141,0.7216797,0.8583984,-19.26025,-27.41745,8.202057,176.6706,89.97765,1055.985,882.5989,52.82353,127.1318,0,127.1318,18,0,-8.785958,-18.26553,0
10:59:40:810,-0.09387207,-0.2689209,0.7904053,-0.421875,0.4609375,1.022461,-8.142242,-33.18954,-22.86407,176.6706,89.97765,1068.37,845.4448,52.82353,238.5941,0,127.1318,18,0,-20.51697,-5.996479,0
10:59:40:842,0.01074219,-0.2918701,0.7294922,-0.2666016,0.3945313,1.109375,1.300964,-32.58392,-42.10938,176.6706,89.97765,1055.985,833.0601,52.82353,263.3636,0,127.1318,32,0,-28.26301,0.7468756,0
10:59:40:875,0.07849121,-0.2392578,1.003052,-0.2353516,-0.06640625,1.15625,13.1218,-32.02316,-57.11533,176.6706,89.97765,1018.831,795.9059,65.20824,238.5941,0,127.1318,36,0,-12.43991,3.606376,0
10:59:40:906,0.1187744,-0.08288574,0.8863525,-0.1533203,-0.1015625,1.071289,14.96857,-23.38745,-34.84192,176.6706,89.97765,981.6765,783.5212,65.20824,201.44,0,127.1318,38,0,-5.236398,7.787295,0
10:59:40:938,0.03918457,0.05603027,0.8007813,-0.09765625,-0.02832031,0.9570313,10.98343,-17.57797,-8.800201,176.6706,89.97765,969.2918,783.5212,65.20824,189.0553,0,127.1318,22,0,4.707387,3.216425,0
10:59:40:970,-0.04187012,0.06982422,0.7780762,-0.1064453,0.01464844,0.9716797,10.4451,-15.44708,-19.50699,176.6706,89.97765,969.2918,783.5212,65.20824,201.44,0,127.1318,24,0,6.156945,-3.548309,0
10:59:41:2,-0.1339111,-0.03710938,0.8820801,-0.1533203,0.03417969,1.023438,10.19089,-13.77228,-35.06622,176.6706,89.97765,932.1377,783.5212,65.20824,201.44,0,127.1318,30,0,-2.330146,-9.328827,0
10:59:41:34,-0.1350098,-0.008911133,0.8442383,-0.1494141,-0.1220703,0.9873047,8.703003,-12.06757,-24.6286,176.6706,89.97765,882.5989,783.5212,65.20824,213.8247,0,127.1318,36,0,-0.6022444,-10.59668,0
