TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
12:16:43:391,-0.0958252,-0.06945801,0.9790039,-0.1269531,0.08496094,1.140625,1.158905,3.192596,1.345825,176.6706,89.97765,325.2871,870.2142,65.20824,0,0,151.9012,12,0,-3.769332,-5.325928,0
12:16:43:424,-0.07141113,-0.04504395,0.956543,-0.1328125,0.09667969,1.148438,0.4037476,3.813171,-1.794434,176.6706,89.97765,325.2871,870.2142,65.20824,0,0,151.9012,10,0,-2.614633,-4.254122,0
12:16:43:456,-0.01904297,-0.04992676,1.004761,-0.1328125,0.09667969,1.138672,0.1121521,4.037476,-3.544006,176.6706,89.97765,325.2871,870.2142,65.20824,0,0,151.9012,10,0,-2.778908,-1.029726,0
12:16:43:487,0.0003662109,-0.05310059,1.003906,-0.1318359,0.08984375,1.143555,-0.5682373,4.620667,0.1794434,176.6706,89.97765,325.2871,870.2142,65.20824,0,0,151.9012,12,0,-3.014927,0.01977734,0
12:16:43:520,0.01586914,-0.04931641,0.989502,-0.1337891,0.06933594,1.15918,-0.9495544,6.317902,5.106659,176.6706,89.97765,325.2871,870.2142,65.20824,0,0,139.5165,12,0,-2.837547,0.8840292,0
12:16:43:551,-0.03369141,-0.06079102,0.994873,-0.1376953,0.07324219,1.149414,-2.497253,8.157196,6.4151,176.6706,89.97765,325.2871,870.2142,77.59294,0,0,151.9012,12,0,-3.399223,-1.836837,0
12:16:43:583,-0.07678223,-0.08129883,0.9934082,-0.1289063,0.07128906,1.154297,-2.437439,9.129181,5.630035,176.6706,89.97765,325.2871,870.2142,65.20824,0,0,151.9012,12,0,-4.370869,-4.111509,0
12:16:43:616,-0.1011963,-0.06848145,1.029053,-0.1103516,0.1318359,1.147461,-1.809387,10.1535,-9.674988,176.6706,89.97765,325.2871,870.2142,77.59294,0,0,151.9012,12,0,-3.378153,-5.129027,0
12:16:43:648,-0.1605225,-0.05505371,0.9371338,-0.1240234,0.1171875,1.140625,-3.013153,10.07874,-12.77039,176.6706,89.97765,325.2871,870.2142,77.59294,0,0,151.9012,12,0,-3.033858,-9.759347,0
12:16:43:679,-0.1601563,-0.07617188,1.070557,-0.1425781,0.1328125,1.234375,-2.923431,7.506714,-13.0246,176.6706,89.97765,325.2871,870.2142,77.59294,0,0,151.9012,12,0,-3.337338,-7.46508,0
12:16:43:711,-0.1704102,-0.1132813,1.160156,-0.1503906,0.1796875,1.304688,-2.729034,5.622559,-14.49005,176.6706,89.97765,325.2871,870.2142,77.59294,0,0,151.9012,12,0,-4.272369,-6.660819,0
12:16:43:743,-0.166626,-0.1391602,1.189941,-0.1376953,0.2109375,1.350586,-0.3962708,3.573914,-33.42133,176.6706,89.97765,325.2871,870.2142,65.20824,0,0,151.9012,12,0,-5.025213,-6.115718,0
12:16:43:775,-0.1312256,-0.1618652,1.141113,-0.1318359,0.2011719,1.319336,0.01495361,2.489777,-36.08307,164.2859,89.97765,325.2871,882.5989,77.59294,0,0,139.5165,10,0,-6.44293,-5.122,0
12:16:43:872,-0.0168457,-0.1112061,1.070679,-0.1162109,0.1904297,1.280273,5.271149,-4.680481,-22.36313,176.6706,89.97765,325.2871,882.5989,77.59294,0,0,139.5165,12,0,-5.461089,-0.767463,0
12:16:43:904,-0.05419922,-0.1191406,1.086304,-0.1103516,0.1669922,1.28125,5.435638,-6.325378,-13.72742,176.6706,89.97765,325.2871,870.2142,77.59294,0,0,139.5165,34,0,-5.513586,-2.388851,0
12:16:43:935,-0.04675293,-0.1048584,1.13855,-0.1181641,0.1601563,1.335938,5.233765,-8.553467,-0.7177734,176.6706,89.97765,325.2871,870.2142,77.59294,0,0,151.9012,36,0,-4.464306,-1.911105,0
12:16:43:967,-0.02978516,-0.07763672,1.18335,-0.1259766,0.1748047,1.350586,4.80011,-8.912354,1.831818,176.6706,89.97765,325.2871,870.2142,65.20824,0,0,151.9012,36,0,-3.107398,-1.154524,0
12:16:44:62,0.0001220703,-0.1925049,0.9793701,-0.1035156,0.3310547,1.183594,13.80966,-5.996399,-7.162781,164.2859,89.97765,312.9024,870.2142,77.59294,0,0,139.5165,50,0,-11.3471,0.006073015,0
12:16:44:94,-0.02893066,-0.1505127,0.9327393,-0.0546875,0.4121094,1.121094,16.52374,-7.551575,-7.372131,164.2859,89.97765,300.5177,857.8295,65.20824,0,0,151.9012,52,0,-9.505138,-1.623847,0
12:16:44:126,-0.09130859,-0.06970215,0.8197021,-0.006835938,0.546875,1.052734,19.47708,-15.59662,-15.28259,164.2859,89.97765,275.7483,857.8295,77.59294,0,0,139.5165,106,0,-5.218142,-7.019017,0
12:16:44:157,-0.1331787,0.009155273,0.7314453,0.0546875,0.53125,0.9335938,20.20233,-26.66229,-15.72372,164.2859,89.97765,250.9788,857.8295,77.59294,0,0,139.5165,124,0,0.7849937,-13.75216,0
12:16:44:189,-0.1331787,0.04602051,0.7460938,0.06933594,0.5302734,0.9433594,19.35745,-32.83066,-5.076752,164.2859,89.97765,250.9788,857.8295,65.20824,0,0,139.5165,158,0,3.816682,-12.4609,0
12:16:44:221,0.06445313,0.08361816,0.7520752,0.03710938,0.4931641,0.9619141,17.27142,-40.67383,1.420593,164.2859,89.97765,263.3636,857.8295,65.20824,0,0,139.5165,192,0,7.559688,5.669488,0
12:16:44:253,0.1241455,0.08093262,0.753418,0.01855469,0.3984375,0.9960938,12.94235,-46.84219,13.59283,164.2859,89.97765,263.3636,870.2142,65.20824,0,0,139.5165,198,0,6.672766,10.83613,0
12:16:44:286,0.2635498,-0.02062988,0.6169434,-0.04882813,0.3623047,0.8310547,10.87128,-46.46835,8.934784,164.2859,89.97765,263.3636,870.2142,65.20824,0,0,139.5165,234,0,-1.834304,33.29785,0
12:16:44:317,0.2532959,-0.03930664,0.5609131,-0.04003906,0.3427734,0.8046875,11.81335,-43.7468,-2.953339,164.2859,89.97765,263.3636,870.2142,65.20824,0,0,151.9012,236,0,-3.959222,35.59003,0
12:16:44:349,0.2696533,0.1455078,0.5773926,-0.01464844,0.2216797,0.7763672,10.43015,-40.86075,-6.609497,164.2859,89.97765,275.7483,870.2142,65.20824,0,0,139.5165,238,0,13.56572,29.38299,0
12:16:44:381,0.3605957,0.1911621,0.4904785,0.01171875,0.1630859,0.6640625,2.310333,-34.35593,9.383392,176.6706,89.97765,288.133,870.2142,65.20824,0,0,139.5165,240,0,17.63994,39.86971,0
12:16:44:413,0.3215332,0.2415771,0.5797119,-0.01660156,0.109375,0.7373047,0.2243042,-32.42691,13.51807,176.6706,89.97765,288.133,870.2142,65.20824,0,0,139.5165,238,0,20.17143,29.10161,0
12:16:44:446,0.2497559,0.2272949,0.7318115,-0.02539063,0.1943359,0.9052734,-12.62833,-21.97433,6.310425,176.6706,89.97765,288.133,870.2142,65.20824,0,0,139.5165,242,0,16.14232,18.12852,0
12:16:44:478,0.2375488,0.1694336,0.8153076,-0.0390625,0.2021484,0.9599609,-14.57977,-20.09766,4.172058,176.6706,89.97765,288.133,882.5989,65.20824,0,0,151.9012,244,0,10.63542,15.89568,0
12:16:44:510,0.2811279,-0.05981445,0.9146729,-0.1025391,0.2333984,1.06543,-19.84344,-13.30872,19.16306,164.2859,89.97765,288.133,882.5989,77.59294,0,0,139.5165,246,0,-3.063151,17.41166,0
12:16:44:542,0.2484131,-0.0390625,1.062622,-0.1015625,0.2685547,1.235352,-20.51636,-11.64139,21.7276,164.2859,89.97765,288.133,882.5989,65.20824,0,0,139.5165,244,0,-1.624239,12.00462,0
12:16:44:573,0.225708,-0.1361084,0.9418945,-0.08496094,0.3789063,1.100586,-19.69391,-6.033783,9.577789,164.2859,89.97765,288.133,882.5989,65.20824,0,0,139.5165,248,0,-6.97285,12.43881,0
12:16:44:606,0.1876221,-0.1524658,0.9487305,-0.09375,0.3496094,1.132813,-16.78543,-5.158997,10.35538,164.2859,89.97765,288.133,882.5989,65.20824,0,0,151.9012,248,0,-7.97923,10.10704,0
