TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
10:59:33:18,-0.5821533,-0.1010742,0.9329834,-0.2626953,-0.2119141,1.013672,-5.196381,-0.1121521,20.77057,164.2859,89.97765,1538.988,1018.831,52.82353,275.7483,0,127.1318,14,10.78902,-3.980285,-30.93053,0
10:59:33:51,-0.2736816,-0.02990723,0.9801025,-0.3046875,-0.06640625,1.130859,3.140259,-1.278534,-35.84381,176.6706,89.97765,1538.988,857.8295,52.82353,288.133,0,127.1318,14,13.59553,-1.388031,-15.4457,0
10:59:33:82,0.04858398,0.06933594,1.036133,-0.3369141,-0.1083984,1.148438,5.226288,3.858032,-45.67581,176.6706,89.97765,1526.604,795.9059,52.82353,350.0565,0,127.1318,14,13.59553,3.535707,2.434128,0
10:59:33:114,0.4521484,0.06506348,1.011108,-0.3837891,0.1337891,1.110352,8.19458,14.0863,-38.20648,176.6706,89.97765,1489.449,733.9824,52.82353,436.7494,0,127.1318,14,13.59553,2.526602,22.57781,0
10:59:33:146,0.4208984,0.2310791,0.9953613,-0.2753906,-0.05664063,1.083984,-2.123413,26.3707,13.16666,176.6706,89.97765,1452.295,746.3671,52.82353,337.6718,0,127.1318,14,13.59553,9.296591,19.00801,0
10:59:33:178,0.4123535,0.2722168,0.9897461,-0.265625,-0.0390625,1.147461,-7.200165,37.15225,67.20154,176.6706,102.3624,1390.372,783.5212,52.82353,213.8247,0,127.1318,14,13.59553,11.06539,18.23213,0
10:59:33:211,0.4123535,0.2722168,0.9897461,-0.09765625,-0.4453125,1.073242,-9.181519,44.17297,99.31442,176.6706,89.97765,1340.833,808.2906,52.82353,102.3624,0,127.1318,14,13.59553,11.06539,18.23213,0
10:59:33:243,-0.25,0.3325195,0.8791504,-0.453125,0.05859375,1.108398,-10.78156,50.07217,111.8904,176.6706,89.97765,1328.448,894.9836,52.82353,3.284706,0,127.1318,14,11.74027,18.00797,-12.74349,0
10:59:33:276,-0.6395264,0.411377,0.8852539,-0.5976563,0.1123047,1.136719,-7.947845,55.85922,-32.9129,176.6706,89.97765,1353.218,932.1377,52.82353,3.284706,0,127.1318,14,9.821452,16.12197,-28.15326,0
10:59:33:308,-0.5227051,0.1325684,1.046021,-0.3378906,-0.390625,1.165039,-11.76849,56.8985,-46.50574,176.6706,89.97765,1291.294,857.8295,52.82353,151.9012,0,127.1318,14,9.331422,4.687256,-23.07872,0
10:59:33:339,-0.6036377,0.197876,0.899292,-0.1972656,-0.4189453,1.140625,-13.80966,52.99561,20.47897,176.6706,89.97765,1241.755,783.5212,52.82353,250.9788,0,127.1318,14,8.338598,7.975381,-30.95021,0
10:59:33:371,-0.5053711,0.21875,1.564697,-0.6572266,0.0234375,1.902344,-18.65463,57.29477,66.38657,164.2859,89.97765,1241.755,721.5977,65.20824,473.9036,0,127.1318,12,7.328408,4.235647,-10.72968,0
