TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
12:3:21:829,-0.3115234,-0.01049805,0.9553223,-0.1455078,-0.203125,1.09375,-15.0882,18.61725,19.23782,77.59294,1439.911,288.133,808.2906,226.2094,0,0,325.2871,16,1.443,-0.4913386,-18.64754,0
12:3:21:863,-0.333374,-0.1750488,0.9719238,-0.1191406,-0.2568359,1.112305,-16.47141,17.76489,29.32404,89.97765,1303.679,275.7483,808.2906,213.8247,0,0,288.133,16,1.443,-7.799263,-16.58033,0
12:3:21:896,-0.3133545,-0.342041,0.9647217,-0.08203125,-0.28125,1.105469,-14.21341,17.53311,35.52979,89.97765,1179.832,238.5941,808.2906,201.44,0,0,263.3636,16,1.443,-15.37323,-13.83151,0
12:3:21:927,-0.2923584,-0.3764648,0.9326172,-0.1318359,-0.2431641,1.100586,-12.84515,17.87704,33.08487,89.97765,1117.908,226.2094,808.2906,201.44,0,0,250.9788,16,0.878841,-17.94937,-13.20242,0
12:3:21:959,-0.2922363,-0.3936768,0.9455566,-0.1005859,-0.2753906,1.105469,-6.430054,19.35745,23.55194,102.3624,981.6765,238.5941,808.2906,201.44,0,0,238.5941,16,0,-18.35836,-12.78586,0
12:3:21:992,-0.27771,-0.4377441,0.9602051,-0.1171875,-0.2705078,1.113281,-0.7925415,20.8902,22.17621,102.3624,820.6754,201.44,808.2906,189.0553,0,0,226.2094,16,0,-20.04586,-11.54321,0
12:3:22:24,-0.2781982,-0.4334717,0.9334717,-0.1103516,-0.296875,1.102539,3.200073,21.90704,16.94992,102.3624,746.3671,201.44,808.2906,189.0553,0,0,226.2094,16,0,-20.66014,-12.03553,0
12:3:22:56,-0.3657227,-0.4080811,0.9383545,-0.1035156,-0.3681641,1.109375,8.583374,21.97433,15.05829,102.3624,585.3659,201.44,795.9059,189.0553,0,0,226.2094,16,0,-18.13114,-15.8448,0
12:3:22:88,-0.409668,-0.3232422,0.9912109,-0.15625,-0.3134766,1.152344,17.12936,22.86407,17.48825,114.7471,374.8259,189.0553,783.5212,176.6706,0,0,238.5941,16,0,-13.07168,-17.41891,0
12:3:22:120,-0.3656006,-0.1606445,1.232422,-0.05078125,0.109375,1.456055,19.61166,19.58923,19.83597,114.7471,213.8247,189.0553,783.5212,189.0553,0,0,250.9788,14,0,-4.872501,-12.28074,0
12:3:22:151,-0.3251953,-0.1308594,1.373413,-0.04785156,0.109375,1.521484,17.44339,13.08441,10.83389,114.7471,201.44,189.0553,771.1365,189.0553,0,0,250.9788,14,0,-3.386433,-9.158275,0
12:3:22:184,-0.3216553,-0.08361816,1.221069,0.01660156,0.1494141,1.464844,16.46393,3.117828,13.00217,114.7471,226.2094,201.44,771.1365,189.0553,0,0,275.7483,14,0,-2.641179,-11.54519,0
12:3:22:215,-0.3406982,-0.03979492,0.9880371,0.08105469,0.1875,1.183594,13.39096,-9.301147,25.05478,114.7471,300.5177,201.44,783.5212,189.0553,0,0,288.133,14,0,-1.730853,-18.53779,0
12:3:22:247,-0.3221436,-0.01135254,0.9393311,0.1054688,0.2109375,1.102539,10.72174,-19.48456,22.82669,114.7471,337.6718,201.44,783.5212,189.0553,0,0,288.133,16,0,-0.5400088,-19.82232,0
12:3:22:279,-0.3347168,0.03601074,0.9023438,0.1103516,0.1806641,1.082031,7.902985,-25.80246,20.57617,114.7471,350.0565,201.44,783.5212,189.0553,0,0,300.5177,16,0,1.795208,-21.48835,0
12:3:22:311,-0.3051758,0.05444336,0.876709,0.1005859,0.1601563,1.071289,5.936584,-29.08478,22.19864,114.7471,337.6718,201.44,783.5212,189.0553,0,0,312.9024,16,0,2.902516,-20.34382,0
12:3:22:343,-0.2363281,-0.003662109,0.8256836,0.0234375,0.09375,1.050781,-1.420593,-41.09253,25.45105,114.7471,300.5177,201.44,783.5212,189.0553,0,0,337.6718,18,0,-0.2285443,-19.02396,0
12:3:22:375,-0.2877197,-0.01989746,0.8239746,0.00390625,0.06933594,1.049805,-4.732819,-47.41043,18.90884,114.7471,250.9788,201.44,783.5212,176.6706,0,0,325.2871,510,0,-1.179201,-22.37772,0
12:3:22:440,-0.2011719,-0.08447266,0.7943115,-0.06640625,-0.01269531,1.058594,-7.910461,-52.30026,10.74417,114.7471,151.9012,213.8247,783.5212,176.6706,0,0,337.6718,58,0,-5.796643,-15.70601,0
12:3:22:471,-0.1175537,-0.03857422,0.8428955,-0.08691406,-0.0859375,1.09375,-8.695526,-53.87787,10.11612,114.7471,127.1318,213.8247,783.5212,176.6706,0,0,337.6718,64,0,-2.667237,-8.919118,0
12:3:22:503,-0.07617188,-0.009887695,0.8930664,-0.1064453,-0.1445313,1.118164,-11.52176,-52.69653,19.14063,114.7471,102.3624,213.8247,795.9059,176.6706,0,0,362.4412,28,0,-0.6483615,-5.38909,0
12:3:22:535,-0.06530762,-0.0378418,0.8919678,-0.1552734,-0.1728516,1.123047,-13.23395,-50.04974,24.56879,114.7471,102.3624,213.8247,795.9059,176.6706,0,0,362.4412,28,0,-2.516837,-4.480446,0
12:3:22:567,-0.01733398,-0.05822754,0.9233398,-0.1728516,-0.15625,1.124023,-14.81903,-45.20477,20.47897,114.7471,77.59294,213.8247,795.9059,176.6706,0,0,362.4412,60,0,-3.829474,-1.090318,0
12:3:22:600,-0.03039551,-0.03112793,0.9176025,-0.1601563,-0.1337891,1.092773,-16.90506,-38.61023,18.18359,114.7471,77.59294,213.8247,795.9059,151.9012,0,0,337.6718,58,0,-2.043516,-1.9938,0
12:3:22:632,-0.02294922,-0.02941895,0.9200439,-0.1503906,-0.1337891,1.100586,-16.89011,-36.97281,18.46024,127.1318,77.59294,213.8247,783.5212,164.2859,0,0,312.9024,58,0,-1.937981,-1.500848,0
12:3:23:158,-0.1801758,-0.12854,0.9888916,-0.1875,-0.07226563,1.123047,-1.644897,17.19666,-13.09937,102.3624,1266.525,288.133,845.4448,176.6706,0,0,337.6718,24,0,-6.333556,-9.248966,0
12:3:23:189,-0.1855469,-0.1456299,0.9958496,-0.2109375,-0.08789063,1.124023,-0.7102966,17.6976,-16.99478,102.3624,1291.294,275.7483,845.4448,176.6706,0,0,337.6718,24,0,-7.051782,-9.265618,0
12:3:23:221,-0.1932373,-0.08374023,0.9884033,-0.2128906,-0.1054688,1.112305,1.697235,18.66959,-23.76877,89.97765,1340.833,275.7483,845.4448,176.6706,0,0,337.6718,24,0,-4.093219,-10.32504,0
12:3:23:253,-0.2386475,0.0847168,0.9788818,-0.2265625,-0.1142578,1.109375,2.459869,19.0509,-24.42673,89.97765,1377.987,275.7483,833.0601,176.6706,0,0,337.6718,24,0,4.048798,-12.8888,0
12:3:23:285,-0.2608643,0.1132813,0.9824219,-0.2226563,-0.1494141,1.105469,-0.9121704,19.61914,-4.411316,89.97765,1402.757,288.133,833.0601,176.6706,0,0,337.6718,50,0,5.279014,-13.59817,0
12:3:23:317,-0.2509766,0.05615234,0.9793701,-0.2314453,-0.1396484,1.108398,-1.562653,19.41727,0.4934692,89.97765,1402.757,288.133,833.0601,176.6706,0,0,337.6718,42,0,2.656701,-13.88462,0
12:3:23:379,-0.2241211,-0.1831055,0.9710693,-0.2265625,-0.1425781,1.112305,0.5084229,20.5986,2.444916,89.97765,1377.987,300.5177,820.6754,176.6706,0,0,337.6718,24,0,-8.916434,-11.25634,0
12:3:23:410,-0.2276611,-0.1988525,0.982666,-0.2207031,-0.1503906,1.118164,4.029999,21.78741,0.3588867,89.97765,1365.602,288.133,820.6754,176.6706,0,0,325.2871,24,0,-9.460933,-11.06201,0
