TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
10:59:56:415,-0.0982666,0.1414795,0.998291,-0.2041016,0.1201172,1.115234,1.420593,28.44925,-39.13361,176.6706,89.97765,659.6741,795.9059,52.82353,0,0,127.1318,250,2.556271,7.363102,-4.934986,0
10:59:56:449,-0.1210938,0.1604004,0.9650879,-0.2314453,0.06835938,1.128906,-2.69165,28.1427,-15.46951,176.6706,89.97765,560.5965,795.9059,52.82353,0,0,127.1318,252,0.878841,8.665264,-6.328952,0
10:59:56:480,-0.1268311,0.1867676,0.9429932,-0.2441406,0.1367188,1.131836,-4.725342,28.367,-14.30313,164.2859,102.3624,548.2118,783.5212,52.82353,0,0,127.1318,252,0.3096001,10.41551,-6.722567,0
10:59:56:519,-0.1981201,0.1306152,0.9986572,-0.2734375,0.04003906,1.121094,-8.246918,27.68661,-21.54068,176.6706,89.97765,523.4424,783.5212,52.82353,0,0,127.1318,210,0,6.235491,-9.962325,0
10:59:56:555,-0.1783447,0.1051025,0.9272461,-0.2431641,0.05273438,1.131836,-10.4451,27.56699,-16.00037,176.6706,89.97765,511.0577,795.9059,52.82353,0,0,127.1318,26,0,5.781051,-10.47206,0
10:59:56:586,-0.1422119,0.02087402,0.9133301,-0.234375,0.046875,1.149414,-11.11801,29.68292,-38.18405,176.6706,89.97765,486.2883,783.5212,52.82353,0,0,127.1318,28,0,1.224735,-9.44304,0
10:59:56:619,-0.2285156,-0.04772949,0.9842529,-0.2207031,-0.01660156,1.121094,-10.75912,29.75021,-40.67383,176.6706,89.97765,473.9036,783.5212,52.82353,0,0,127.1318,66,0,-2.282904,-12.67002,0
10:59:56:650,-0.2623291,-0.1586914,0.9289551,-0.1728516,-0.09277344,1.123047,-10.4451,25.95947,-19.36493,176.6706,89.97765,461.5189,783.5212,52.82353,0,0,127.1318,74,0,-8.027095,-14.40075,0
10:59:56:682,-0.161377,-0.1248779,0.9338379,-0.1875,-0.09765625,1.124023,-9.069366,24.51645,10.16098,176.6706,89.97765,523.4424,795.9059,52.82353,0,0,127.1318,130,0,-6.890117,-9.194922,0
10:59:56:714,-0.338501,-0.1705322,0.9783936,-0.2353516,-0.06933594,1.144531,-6.459961,23.11081,42.15424,176.6706,89.97765,572.9812,795.9059,52.82353,0,0,127.1318,50,0,-7.497516,-16.70694,0
